"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.probe","auc.r2l","auc.u2r","auc.weighted","acc.overall","acc.background","acc.dos","acc.probe","acc.r2l","acc.u2r"
6,5,0.782,0.984,0.752,0.707,0.931,0.713,0.752,0.794110718492344,0.994576750766329,0.7593050295512,0.717726161369193,0.812061878725718,NA
7,1,0.766,0.987,0.771,0.737,0.911,0.621,0.772,0.795711592836946,0.789504446207156,0.770222074161894,0.751939815514316,0.808215397795608,NA
7,2,0.823,0.987,0.737,0.696,0.931,0.815,0.739,0.796370492576008,0.966683833968987,0.765586627534631,0.734698684393996,0.859267827331266,NA
7,3,0.796,0.986,0.756,0.717,0.934,0.701,0.757,0.79019330504479,0.862171753016324,0.744306930693069,0.694499029597283,0.792613636363636,0.499528413110116
7,4,0.809,0.977,0.744,0.7,0.902,0.878,0.743,0.789349670122526,0.994808872109486,0.736681144823534,0.700912097735929,0.821782964197825,NA
7,5,0.767,0.983,0.74,0.701,0.9,0.66,0.741,0.788878416588124,0.945276334435522,0.729210318192448,0.698072393404797,0.776905007796205,NA
8,1,0.784,0.987,0.731,0.693,0.913,0.82,0.732,0.783879330662267,0.802845971994908,0.699609809710381,0.656054303211372,0.814481233564427,0.499528413110116
8,2,0.789,0.991,0.754,0.723,0.912,0.722,0.756,0.791607732201792,0.858791173374014,0.741760665067637,0.718299618922094,0.799470066591943,NA
8,3,0.719,0.985,0.76,0.713,0.926,0.404,0.759,0.79688972667295,0.995744680851064,0.781938817450531,0.740437158469945,0.838319309571724,NA
8,4,0.697,0.98,0.743,0.701,0.889,0.274,0.742,0.792412818096136,0.945276334435522,0.763095557343345,0.742983876979797,0.777024482109228,NA
8,5,0.814,0.981,0.759,0.719,0.93,0.801,0.76,0.792884071630537,0.912058916194077,0.760888620579206,0.719338853493052,0.828646740769754,NA
9,1,0.782,0.986,0.75,0.711,0.907,0.669,0.75,0.793590951932139,0.877045205958301,0.746900856052605,0.70007134566442,0.828646740769754,NA
