"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.probe","auc.r2l","auc.weighted","acc.overall","acc.background","acc.dos","acc.probe","acc.r2l"
18,1,0.837,0.996,0.742,0.692,0.967,0.742,0.904761904761905,NA,0.722945532728141,0.531220435193945,0.805238095238095
18,2,0.753,0.963,0.745,0.726,0.918,0.746,0.901933050447902,0.499763928234183,0.659304406173116,0.710085025980161,0.64336807200379
18,3,0.9,1,0.764,0.742,0.973,0.766,0.905749293119698,0.75,0.758920043662164,0.773001419110691,0.744771863117871
18,4,0.851,0.979,0.77,0.729,0.976,0.77,0.908105560791706,NA,0.801783617146212,0.710302457466919,0.845718363463368
18,5,0.861,NA,0.783,0.76,0.974,NA,0.908576814326107,0.5,0.849801036113822,0.860321209258385,0.879399642557537
19,1,0.823,NA,0.781,0.743,0.951,NA,0.902921771913289,0.5,0.727012987012987,0.659848842701937,0.681327160493827
19,2,0.859,0.999,0.743,0.711,0.979,0.744,0.905233380480905,NA,0.731890949437312,0.647746095598675,0.844315490288963
19,3,0.842,0.975,0.767,0.752,0.943,0.768,0.909005186232909,NA,0.815868320610687,0.794270833333333,0.838999406175772
19,4,0.837,0.996,0.745,0.717,0.943,0.746,0.908105560791706,NA,0.815650929899857,0.710302457466919,0.837587907000025
19,5,0.804,0.918,0.756,0.718,0.976,0.757,0.905278039585297,0.4997642621405,0.74358685587006,0.835103871576959,0.780258877744646
20,1,0.902,1,0.78,0.736,0.965,0.779,0.908062234794908,0.75,0.821470534239031,0.710283687943262,0.80080044381043
20,2,0.822,NA,0.749,0.722,0.957,NA,0.904761904761905,NA,0.739439962031324,0.626298394711992,0.766803102111159
20,3,0.845,0.998,0.744,0.708,0.984,0.745,0.905704856199906,NA,0.740238095238095,0.543144208037825,0.861918328584995
20,4,0.806,0.98,0.77,0.747,0.966,0.771,0.909048067860509,NA,0.849801036113822,0.960358659745163,0.870251661918329
20,5,0.837,0.977,0.762,0.738,0.951,0.763,0.904380593499765,NA,0.740606887146267,0.738279196888468,0.731376325795477
