,Rep,Kfold,Num_Vars_,Precision_background,Recall_background,F1_score_background,Num_Obs_background,AUC_background,Precision_dos,Recall_dos,F1_score_dos,Num_Obs_dos,AUC_dos,Precision_nerisbotnet,Recall_nerisbotnet,F1_score_nerisbotnet,Num_Obs_nerisbotnet,AUC_nerisbotnet,Precision_scan,Recall_scan,F1_score_scan,Num_Obs_scan,AUC_scan,Precision_sshscan,Recall_sshscan,F1_score_sshscan,Num_Obs_sshscan,AUC_sshscan,Precision_udpscan,Recall_udpscan,F1_score_udpscan,Num_Obs_udpscan,AUC_udpscan,Precision_spam,Recall_spam,F1_score_spam,Num_Obs_spam,AUC_spam,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Time
0,9.0,1.0,79.0,0.8499059796916134,0.9387695758733852,0.8921303515385983,24073.0,0.8242152840810255,1.0,0.9670658682634732,0.9832572298325724,334.0,0.9835329341317364,0.9741784037558684,0.8736842105263158,0.921198668146504,475.0,0.9366948259144005,0.9767441860465116,0.8936170212765957,0.9333333333333332,141.0,0.9467686996079884,1.0,1.0,1.0,21.0,1.0,1.0,0.42857142857142855,0.6,7.0,0.7142857142857143,0.8589631358817236,0.6916510025062657,0.7662805327779947,12768.0,0.8168845408124318,0.8564341637819787,0.8545440122689654,0.8509717622684837,37819.0,0.8250942854049478,270131.81811761856
0,12.0,1.0,84.0,0.8343031820860342,0.9410127528766667,0.8844509516837481,24073.0,0.8068825766129043,1.0,0.9670658682634732,0.9832572298325724,334.0,0.9835329341317364,0.9720279720279721,0.8778947368421053,0.9225663716814159,475.0,0.9387867086449052,0.9689922480620154,0.8865248226950354,0.925925925925926,141.0,0.9432093327912544,1.0,1.0,1.0,22.0,1.0,1.0,0.5714285714285714,0.7272727272727273,7.0,0.7857142857142857,0.8554552439492893,0.6975487508810401,0.7684741814416979,12769.0,0.8187368534861851,0.8452666430299465,0.8580153882763544,0.8468392688895356,37821.0,0.8147180495359043,238642.5219528675
0,20.0,1.0,82.0,0.8371310201967892,0.9401379195746096,0.8856494345086682,24072.0,0.8099249283622665,1.0,0.9640718562874252,0.9817073170731708,334.0,0.9820359281437124,0.978622327790974,0.8673684210526316,0.9196428571428572,475.0,0.9335637092409688,0.9612403100775194,0.8794326241134752,0.9185185185185184,141.0,0.9396499603395552,1.0,1.0,1.0,22.0,1.0,1.0,0.5714285714285714,0.7272727272727273,7.0,0.7857142857142857,0.8560889238638599,0.681625939849624,0.7589604953344379,12768.0,0.8116125388042978,0.8473344558949871,0.8518998387054126,0.8443132661670081,37819.0,0.8141573065730741,241234.2334022522
0,2.0,1.0,85.0,0.8483721978145771,0.9385593220338984,0.8911898704218685,24072.0,0.8224005689174293,1.0,0.975975975975976,0.9878419452887536,333.0,0.9879879879879878,0.9716981132075472,0.8655462184873951,0.9155555555555556,476.0,0.9326124322579976,0.9763779527559056,0.8794326241134752,0.9253731343283584,141.0,0.9396764999697879,1.0,1.0,1.0,21.0,1.0,1.0,0.42857142857142855,0.6,7.0,0.7142857142857143,0.8603798420458819,0.7167136591478697,0.7820030763971971,12768.0,0.8287161110110605,0.8559030874784412,0.8627902057221429,0.8556182575599062,37818.0,0.8278939051409415,192387.4123058319
0,4.0,2.0,83.0,0.8325067048752709,0.941303535080796,0.8835685876939873,24073.0,0.8048217078866805,1.0,0.96996996996997,0.9847560975609756,333.0,0.984984984984985,0.9790209790209792,0.8842105263157894,0.9292035398230089,475.0,0.9419847618725478,0.9837398373983741,0.8642857142857143,0.9201520912547528,140.0,0.9321163171603736,1.0,1.0,1.0,22.0,1.0,1.0,0.7142857142857143,0.8333333333333333,7.0,0.8571428571428572,0.8544247349122981,0.6752290704048869,0.7543307086614173,12769.0,0.8082931779170144,0.8439102538096794,0.8507099606018139,0.8415914095684108,37819.0,0.8098973428454039,233318.56295061109
0,8.0,5.0,88.0,0.8385983147110138,0.9384762379528082,0.885730528709494,24072.0,0.8110945240102296,1.0,0.9639639639639641,0.9816513761467892,333.0,0.981981981981982,0.97624703087886,0.8652631578947368,0.9174107142857144,475.0,0.9324976886303163,0.9586776859504132,0.8226950354609929,0.8854961832061068,141.0,0.911281166013314,1.0,1.0,1.0,22.0,1.0,1.0,0.5714285714285714,0.7272727272727273,7.0,0.7857142857142857,0.8533953672540091,0.6751507557365495,0.7538804599711424,12769.0,0.8080144996247618,0.8473157664025075,0.8484095296015229,0.8424921533867109,37819.0,0.8135628010838495,281700.8990447521
0,5.0,3.0,83.0,0.8476261962844811,0.9381880114651268,0.8906108285027012,24073.0,0.8214361645920341,1.0,0.9639639639639641,0.9816513761467892,333.0,0.981981981981982,0.9718969555035128,0.8718487394957983,0.919158361018826,476.0,0.9357637056697092,0.9669421487603306,0.8297872340425532,0.8931297709923665,141.0,0.9148405384650132,1.0,1.0,1.0,21.0,1.0,1.0,0.5,0.6666666666666666,8.0,0.75,0.8571831780976573,0.7135249432218654,0.7787845114967091,12769.0,0.8264654893340687,0.8543200660500827,0.8612675497739352,0.8540400259377622,37821.0,0.8264188324833586,244745.4200568199
0,18.0,2.0,75.0,0.8399687453490102,0.937772608316371,0.8861802979450039,24073.0,0.8124521730750401,1.0,0.9520958083832336,0.9754601226993864,334.0,0.9760479041916168,0.972093023255814,0.88,0.923756906077348,475.0,0.9398393359218101,0.968503937007874,0.8723404255319149,0.9179104477611941,141.0,0.9361171328009904,1.0,1.0,1.0,21.0,1.0,1.0,0.42857142857142855,0.6,7.0,0.7142857142857143,0.8525102559093573,0.6835304252486489,0.7587256052505759,12769.0,0.8116266951998703,0.8478734612812778,0.8510312004230566,0.8445372593965453,37820.0,0.8157651674703962,208637.03151726726
0,1.0,3.0,87.0,0.831037009893734,0.942092801063432,0.8830870470961587,24073.0,0.803337082134975,1.0,0.9670658682634732,0.9832572298325724,334.0,0.9835329341317364,0.9720279720279721,0.8778947368421053,0.9225663716814159,475.0,0.9387867043428628,0.9663865546218487,0.8156028368794326,0.8846153846153846,141.0,0.9077483384747492,1.0,1.0,1.0,21.0,1.0,1.0,0.5714285714285714,0.7272727272727273,7.0,0.7857142857142857,0.8560081466395112,0.6583131020440128,0.7442560538315108,12769.0,0.8009341247715573,0.8433605434829916,0.8451877313590693,0.8376364002050455,37820.0,0.8063135277030954,190666.7756948471
0,7.0,2.0,80.0,0.8409352812163117,0.9397250031155236,0.8875897516380901,24073.0,0.8142398655379772,1.0,0.9580838323353292,0.9785932721712538,334.0,0.9790419161676648,0.9739336492890996,0.8634453781512605,0.915367483296214,476.0,0.9315754136706228,0.9761904761904762,0.8723404255319149,0.9213483146067416,141.0,0.93613040384876,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,7.0,1.0,0.855525185474424,0.6863497533087948,0.7616564550471473,12769.0,0.8136363168587722,0.849561656017759,0.8531768065360514,0.8464349052905665,37821.0,0.8175601569740429,260853.02366757396
