,Rep,Kfold,Num_Vars_,Precision_background,Recall_background,F1_score_background,Num_Obs_background,AUC_background,Accuracy_background,Precision_dos,Recall_dos,F1_score_dos,Num_Obs_dos,AUC_dos,Accuracy_dos,Precision_nerisbotnet,Recall_nerisbotnet,F1_score_nerisbotnet,Num_Obs_nerisbotnet,AUC_nerisbotnet,Accuracy_nerisbotnet,Precision_scan,Recall_scan,F1_score_scan,Num_Obs_scan,AUC_scan,Accuracy_scan,Precision_sshscan,Recall_sshscan,F1_score_sshscan,Num_Obs_sshscan,AUC_sshscan,Accuracy_sshscan,Precision_udpscan,Recall_udpscan,F1_score_udpscan,Num_Obs_udpscan,AUC_udpscan,Accuracy_udpscan,Precision_spam,Recall_spam,F1_score_spam,Num_Obs_spam,AUC_spam,Accuracy_spam,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Accuracy_w,Hyper_time,Training_time,Testing_time,Total_time
0,3.0,2.0,82.0,0.9995847003613106,0.9998338387404976,0.9997092540289084,24073.0,0.999553256558408,0.9996298450637195,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,0.9996866186148544,0.9992951679849637,0.9994908549719972,12769.0,0.9995677532336904,0.9996562847020252,0.9996298695175004,0.9996562847020252,0.9996430542905012,37822.0,0.9995697262485206,0.9996483623176744,211946.28856658933,1848.6497700214386,255.9882478713989,215301.39325404167
0,12.0,5.0,86.0,0.9997508098679292,0.9999584596851244,0.9998546239953481,24073.0,0.9997610162842264,0.9998149176383492,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,0.9999216546537136,0.9995301119899758,0.9997258449849216,12769.0,0.9997450975086396,0.9998149176383492,0.9998149402243178,0.9998149176383492,0.9998149091259478,37821.0,0.999761827955316,0.9998197085119924,210004.90040063855,1292.0293154716494,136.06656622886658,212117.10410141945
0,2.0,2.0,86.0,0.9989621388243108,0.999584596851244,0.9992732709038434,24073.0,0.9988829429767642,0.9990745392527566,1.0,1.0,1.0,333.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,140.0,1.0,1.0,1.0,0.9545454545454546,0.9767441860465116,22.0,0.9772727272727272,0.9999735582643644,1.0,1.0,1.0,7.0,1.0,1.0,0.999137863468924,0.9983553919649152,0.9987464744594172,12769.0,0.998958135104214,0.9991538644596633,0.9990482811960212,0.9991538644596633,0.9991006519192348,37819.0,0.9989239671441696,0.9991252147597468,212928.8107290268,1774.2135241031647,150.81330084800717,215609.12666845322
0,2.0,4.0,87.0,0.9999584614106504,1.0,0.9999792302739526,24073.0,0.9999636310736106,0.9999735596626212,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.9999216853316626,0.9999608411324744,12769.0,0.9999608426658312,0.9999735596626212,0.9999735607609156,0.9999735596626212,0.9999735594195138,37821.0,0.9999636310736106,0.9999742440731416,214499.91998028755,1294.6066811084747,136.17815256118772,216523.9565329552
0,14.0,2.0,91.0,0.9988790633951924,0.9995014955134596,0.9991901825204011,24072.0,0.9987686438719632,0.9989687450420436,1.0,1.0,1.0,333.0,1.0,1.0,1.0,1.0,1.0,476.0,1.0,1.0,1.0,1.0,1.0,140.0,1.0,1.0,1.0,0.9523809523809524,0.975609756097561,21.0,0.9761904761904762,0.9999735575651806,1.0,1.0,1.0,7.0,1.0,1.0,0.9990591924735398,0.997963818623228,0.99851120514026,12769.0,0.9987423787914336,0.9989951874768628,0.9989688413650564,0.9989687450420436,0.9989683076033932,37818.0,0.998778365595053,0.99900430018121,211379.72745275497,861.0977299213409,142.39933300018308,212964.257704258
0,9.0,1.0,79.0,0.9986299663719018,0.9992107340173638,0.9989202657807308,24073.0,0.9984050178161896,0.9986250297469526,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,0.9523809523809524,0.975609756097561,21.0,0.9761904761904762,0.9999735582643644,1.0,1.0,1.0,7.0,1.0,1.0,0.9983538449478716,0.9974937343358397,0.9979236043095004,12768.0,0.9983277222236062,0.9985985880113172,0.998572174641456,0.9986250297469526,0.9985981634321712,37819.0,0.9984069475988296,0.9986516448756032,214556.15341901782,1850.4869887828827,211.2420928478241,217470.39816260335
0,12.0,1.0,84.0,0.9995016818238446,0.9998338387404976,0.9996677326909499,24073.0,0.9994804922535774,0.9995769546019408,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,0.999686544941619,0.9990602239799514,0.9993732863298079,12769.0,0.9994502780445822,0.9995769546019408,0.9995769937046864,0.9995769546019408,0.9995769234608964,37821.0,0.9994837389379349,0.999587905170268,214908.679666996,1781.9989304542542,247.23155045509338,217840.9594659805
0,20.0,1.0,82.0,0.9994187012124232,0.9999169159189101,0.9996677464905724,24072.0,0.9994492559517442,0.9995769322298316,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,0.9998432233283688,0.9989818295739348,0.9994123408423116,12768.0,0.9994509962208424,0.9996033739654672,0.9995770710764976,0.9996033739654672,0.9995901203468016,37819.0,0.9994641002939818,0.999596810900013,100804.49964118004,942.7241230010986,150.5566074848175,102449.81478381157
0,2.0,1.0,85.0,0.9995847003613106,0.9998753738783648,0.9997300159913604,24072.0,0.9995739447596392,0.9996562483473478,1.0,1.0,1.0,333.0,1.0,1.0,1.0,1.0,1.0,476.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,0.9996865940609576,0.9992951127819548,0.9994908150875408,12768.0,0.9995677160716162,0.9996562483473478,0.9996298413471832,0.9996826907821672,0.9996562396737466,37818.0,0.999582859935915,0.9996651380061424,212567.2474286556,1764.1747798919678,163.46647214889524,215319.84889698031
0,4.0,2.0,83.0,0.999377231586814,0.9999169193702488,0.999647002637098,24073.0,0.99941284641581,0.999550490494196,1.0,1.0,1.0,333.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,140.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,0.9998432110379428,0.9988252799749392,0.999333986287953,12769.0,0.9993727198277892,0.999550490494196,0.9995506506711668,0.999550490494196,0.9995504366956751,37819.0,0.9994144665710047,0.9995621029320492,210181.2601299286,1829.0342540740967,313.5620846748352,213600.00463438034
0,8.0,5.0,88.0,1.0,1.0,1.0,24072.0,1.0,1.0,1.0,1.0,1.0,333.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,12769.0,1.0,1.0,1.0,1.0,1.0,37819.0,1.0,1.0,232855.5659980774,1907.0625150203705,126.82580542564392,235476.86283707622
0,5.0,3.0,83.0,0.999916922821301,0.9999584596851244,0.999937690821858,24073.0,0.9999064919897838,0.999920678987864,1.0,1.0,1.0,333.0,1.0,1.0,1.0,1.0,1.0,476.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,0.999921679197995,0.9998433706633252,0.9998825233974232,12769.0,0.9999017268453142,0.999920678987864,0.999920679113624,0.999920678987864,0.9999206782585413,37821.0,0.9999073036608732,0.9999227322194252,212007.88687515262,1848.6121377944946,241.57746505737305,215306.33383297923
0,18.0,2.0,75.0,0.9997923415566076,1.0,0.9998961599966772,24073.0,0.9998181421401032,0.9998677948175568,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.9996084266583132,0.9998041749892296,12769.0,0.9998042133291564,0.9998677948175568,0.9998678222710792,0.9998677948175568,0.9998677887371096,37820.0,0.9998181421401032,0.9998712135554846,189221.40645861626,9343.564710855484,606.9797916412354,202260.2815032005
0,1.0,3.0,87.0,0.9995847003613106,0.9998338387404976,0.9997092540289084,24073.0,0.9995532036504554,0.9996298254891592,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,0.9996865940609576,0.9992168533166262,0.9994516684944384,12769.0,0.999528589526063,0.9996298254891592,0.9996298416542092,0.9996298254891592,0.9996298050566736,37820.0,0.9995564471479564,0.9996393979553572,213398.27768564227,1656.8693234920502,135.83969068527222,215862.01545906067
0,7.0,2.0,80.0,0.9992525537746034,0.9996261371661196,0.9994393105596512,24073.0,0.9991584279080526,0.999286110890775,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,476.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,0.9991381336676329,0.9986686506382646,0.9989033369888768,12769.0,0.9991147819692998,0.9992596705533964,0.9992332713523712,0.9993125512281535,0.9992728704453464,37821.0,0.9991654764812284,0.9992956632762204,213390.07720017433,11566.93476676941,234.3734440803528,229177.03883457184
0,18.0,5.0,82.0,0.9999169262720664,1.0,0.9999584614106504,24073.0,0.9999272568560412,0.9999471179270228,1.0,1.0,1.0,333.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,0.9999216853316626,0.9999608411324744,12769.0,0.9999608426658312,0.9999735589635114,0.9999471223201336,0.9999735589635114,0.9999603390258898,37820.0,0.9999404773742856,0.9999574125928689,49157.75764346123,1352.3569622039795,117.93499517440796,51134.50672340394
0,11.0,2.0,86.0,0.9991281604184828,0.9997092177958709,0.9994186046511628,24073.0,0.9990908058863692,0.9992596509783184,1.0,1.0,1.0,333.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,0.9545454545454546,0.9767441860465116,22.0,0.9772727272727272,0.9999735589635114,1.0,1.0,1.0,8.0,1.0,1.0,0.9994512816492904,0.9985902255639098,0.9990205680705192,12768.0,0.9991554033775162,0.9993389740877844,0.9992598141156076,0.9993125330512956,0.9992857497351891,37820.0,0.9991229286204836,0.999305579520124,217481.57460212708,1651.861974954605,142.7187032699585,219970.04979419708
0,6.0,4.0,90.0,1.0,1.0,1.0,24073.0,1.0,1.0,1.0,1.0,1.0,333.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,12768.0,1.0,1.0,1.0,1.0,1.0,37819.0,1.0,1.0,230632.24662899968,2584.740278720856,151.25923752784732,234741.0739810467
0,17.0,4.0,86.0,0.999626245847176,0.9999169193702488,0.9997715614811123,24073.0,0.9996310917235356,0.9997091409080092,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,140.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,0.9999216423758032,0.999373482653301,0.9996474873682974,12769.0,0.99966678124681,0.9997620243792804,0.9997356373192232,0.9997355826436448,0.9997355711610728,37819.0,0.9996526719585708,0.9997345101239468,206791.8223311901,1402.189045906067,145.49425649642944,209023.93460989
0,8.0,1.0,90.0,0.9995847176079734,0.9998753790553732,0.9997300272049509,24073.0,0.9995739473481434,0.999656257436738,1.0,1.0,1.0,333.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,0.999764945545718,0.9992951679849637,0.9995300015666616,12769.0,0.9995877037529608,0.9996826991723736,0.9996562970107622,0.9996826991723736,0.9996694660067554,37819.0,0.9995895984487536,0.999674065179054,232487.68229985237,2217.4869964122768,138.37269330024722,235476.81157183647
0,16.0,4.0,84.0,0.9996677188901812,0.9998338318378198,0.9997507684639029,24072.0,0.9996259856694372,0.9996827159514556,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,476.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,0.9996866677111076,0.9994517973216384,0.9995692187194049,12769.0,0.9996460647154256,0.9997091562888344,0.9996827262401198,0.9997091562888344,0.999695932214673,37821.0,0.9996424559738232,0.9996998639654046,207465.0854692459,1192.3143379688265,161.8403651714325,209423.55153799054
0,13.0,1.0,87.0,0.9999169262720664,1.0,0.9999584614106504,24073.0,0.9999272515640912,0.9999471165287288,1.0,1.0,1.0,334.0,1.0,1.0,1.0,1.0,1.0,475.0,1.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.99984335839599,0.9999216730633664,12768.0,0.999921679197995,0.9999471165287288,0.999947120921956,0.9999471165287288,0.9999471155559811,37819.0,0.9999272515640912,0.9999484840962188,210690.6320946217,1081.3572950363161,140.94830441474917,212520.44587898254
