,Rep,Kfold,Num_Vars_,Precision_label_background,Recall_label_background,F1_score_label_background,Num_Obs_label_background,AUC_label_background,Precision_label_dos,Recall_label_dos,F1_score_label_dos,Num_Obs_label_dos,AUC_label_dos,Precision_label_exploit,Recall_label_exploit,F1_score_label_exploit,Num_Obs_label_exploit,AUC_label_exploit,Precision_label_fuzzer,Recall_label_fuzzer,F1_score_label_fuzzer,Num_Obs_label_fuzzer,AUC_label_fuzzer,Precision_label_generic,Recall_label_generic,F1_score_label_generic,Num_Obs_label_generic,AUC_label_generic,Precision_label_reconnaissance,Recall_label_reconnaissance,F1_score_label_reconnaissance,Num_Obs_label_reconnaissance,AUC_label_reconnaissance,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Time
0,2.0,4.0,65.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7998.0,1.0,6060.764377593994
0,1.0,5.0,70.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7998.0,1.0,5840.63410615921
0,19.0,5.0,64.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7999.0,1.0,32325.690505981445
0,17.0,1.0,67.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3044.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7998.0,1.0,4442.908988714218
0,13.0,3.0,66.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7998.0,1.0,5841.283331155778
0,11.0,5.0,62.0,1.0,1.0,1.0,2840.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,8000.0,1.0,5835.307121753693
0,1.0,3.0,65.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,572.0,1.0,1.0,1.0,1.0,3044.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7999.0,1.0,6330.984283924103
0,15.0,2.0,66.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7998.0,1.0,6076.877091169356
0,19.0,1.0,67.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7998.0,1.0,6228.645391941071
0,20.0,4.0,67.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,7999.0,1.0,6285.337588071822
0,8.0,2.0,67.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,572.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,8000.0,1.0,6180.76246881485
0,4.0,2.0,63.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,7998.0,1.0,6061.335596323012
