"Repetition","Fold","auc.multiclass","auc.background","auc.botnet","auc.dos","auc.scan","auc.spam","auc.weighted","acc.overall","acc.background","acc.botnet","acc.dos","acc.scan","acc.spam"
5,2,0.973,0.956,0.99,0.977,1,0.96,0.959,0.894288577154309,0.899400728534331,0.999492385786802,0.995707070707071,0.99949545913219,0.906352920081358
5,1,0.985,0.97,0.997,0.989,1,0.972,0.972,0.915330661322645,0.921076687613287,0.980973609465229,0.996962025316456,0.966414268887767,0.92523190335242
5,4,0.985,0.964,1,0.987,1,0.964,0.965,0.904809619238477,0.912384281126015,0.998732894069944,0.997213779128673,0.99949545913219,0.914158957084075
4,5,0.983,0.965,0.999,0.988,1,0.966,0.966,0.907907907907908,0.914702629382304,0.965263305371184,0.996461071789687,0.966162380231972,0.918035769654792
6,1,0.972,0.96,1,0.992,0.98,0.962,0.962,0.906312625250501,0.908915591158582,1,0.997970573313039,0.960529888669072,0.912591521818331
6,4,0.989,0.967,1,0.995,1,0.967,0.968,0.912869303955934,0.920730052326939,0.999239350912779,0.997215189873418,1,0.923456669276951
6,2,0.979,0.956,0.996,0.99,1,0.959,0.959,0.889278557114228,0.899153140812242,0.998732251521298,0.99645928174001,0.957325268817204,0.903482794120868
6,3,0.981,0.963,0.998,0.996,1,0.966,0.966,0.902353530295443,0.909513782220767,0.977899560736611,0.995959595959596,1,0.914210350115553
5,5,0.986,0.964,0.999,0.987,0.999,0.965,0.966,0.903855783675513,0.910795782708686,0.999239350912779,0.998729674796748,0.999747729566095,0.911098176892201
6,5,0.982,0.96,1,0.971,1,0.963,0.962,0.888332498748122,0.896570134299499,0.947767731987665,0.997718052738337,0.970588235294118,0.896690421020417
7,1,0.979,0.963,0.995,0.977,1,0.966,0.965,0.898347521281923,0.905786613693216,0.98000819576162,0.997215189873418,0.999495713565305,0.908383110665268
7,5,0.99,0.962,1,0.998,1,0.962,0.964,0.903807615230461,0.907021385050294,0.999492385786802,0.997213779128673,0.970588235294118,0.910034121228706
7,4,0.981,0.962,1,0.975,1,0.965,0.964,0.905310621242485,0.910663735343384,1,0.99645928174001,0.968497474747475,0.914977008551717
7,2,0.985,0.96,0.999,0.998,0.999,0.963,0.963,0.8998998998999,0.906955139366865,0.979755031986269,0.9977192093259,0.999747856782653,0.911025295826543
7,3,0.976,0.962,0.998,0.987,0.997,0.962,0.963,0.898797595190381,0.911202742575729,0.998227848101266,0.996208291203236,0.966414268887767,0.911538730792117
8,1,0.993,0.965,1,0.999,1,0.964,0.966,0.906813627254509,0.91361130590925,0.980007809449434,0.998476383951244,0.96875,0.914167014142256
8,3,0.971,0.958,1,0.985,0.973,0.96,0.96,0.894894894894895,0.902864133699409,0.999746192893401,0.995961635537607,0.968497729566095,0.903974863718958
8,5,0.977,0.956,0.989,0.992,1,0.959,0.959,0.895343014521783,0.900266102049352,0.998733535967579,0.997213779128673,0.999747729566095,0.904409673137262
8,4,0.979,0.959,0.999,0.979,0.998,0.962,0.962,0.902304609218437,0.907529313232831,0.97898528665652,0.996710526315789,0.966161871108868,0.914054951690821
8,2,0.985,0.964,1,0.984,1,0.966,0.966,0.901302605210421,0.911324416069727,0.980007809449434,0.997213779128673,0.963528902983999,0.914326204869185
9,1,0.977,0.961,1,0.986,0.994,0.964,0.963,0.901852779168753,0.907190763418474,0.999239350912779,0.996963562753036,0.999747729566095,0.912314711701679
9,2,0.983,0.965,1,0.984,0.999,0.968,0.967,0.905263157894737,0.912577732524382,0.980007422744853,0.996708860759494,0.99949545913219,0.916140489344909
9,3,0.98,0.961,0.993,0.983,1,0.961,0.962,0.889779559118236,0.89889067229057,0.99923896499239,0.996208291203236,0.970588235294118,0.902279981960293
9,5,0.981,0.965,0.994,0.983,0.999,0.967,0.967,0.906906906906907,0.914866021497472,0.99949264332826,0.99746835443038,0.932576903681291,0.918065336463224
10,1,0.985,0.964,1,0.982,1,0.966,0.966,0.905358037055583,0.91492426310188,0.96526317633866,0.9977192093259,0.999747729566095,0.916804993393296
9,4,0.985,0.961,0.998,0.989,1,0.962,0.963,0.897346019028543,0.904024129537075,0.977899560736611,0.997718052738337,1,0.903333814605386
10,2,0.983,0.964,0.999,0.988,0.999,0.964,0.965,0.899799599198397,0.90889363171011,0.998480243161094,0.99645928174001,0.940923817733258,0.911038806099651
10,3,0.989,0.96,1,0.995,1,0.96,0.961,0.898797595190381,0.904394611338338,0.999746063991874,0.996962025316456,0.940923817733258,0.906521739130435
10,4,0.978,0.962,1,0.991,0.991,0.964,0.964,0.909364046069104,0.914662735765283,0.99949264332826,0.996461071789687,0.999495713565305,0.919638672084973
10,5,0.979,0.965,0.996,0.983,1,0.97,0.968,0.903355032548823,0.909105985984977,0.998985801217039,0.996962025316456,0.999495967741935,0.915135544124906
11,1,0.989,0.967,0.999,0.998,1,0.968,0.969,0.904809619238477,0.913989134959401,0.998732894069944,0.99645928174001,0.921052631578947,0.917293625914316
11,3,0.976,0.954,1,0.971,1,0.957,0.957,0.892839258888332,0.899231422104866,0.981888921134731,0.997215189873418,0.9684976022211,0.900946197545153
11,4,0.989,0.962,1,0.998,1,0.961,0.963,0.893787575150301,0.897919883180405,0.99923896499239,0.996962025316456,1,0.902217046238785
11,2,0.976,0.967,0.996,0.997,0.992,0.969,0.968,0.900350525788683,0.910832113179562,0.997975708502024,0.99645928174001,0.999495967741935,0.912988340729139
13,4,0.992,0.965,1,1,1,0.965,0.967,0.902402402402402,0.907406093489149,0.99949264332826,0.997467071935157,0.999495967741935,0.91049008677105
11,5,0.975,0.96,0.994,0.966,0.999,0.963,0.962,0.900851276915373,0.906913279817964,0.99949264332826,0.9977192093259,0.999243951612903,0.912482021443515
12,1,0.967,0.959,1,0.971,0.984,0.961,0.961,0.897795591182365,0.904868505270194,0.998985801217039,0.997213779128673,0.927562346835808,0.909282618097626
12,2,0.986,0.954,1,0.992,1,0.955,0.956,0.889834752128192,0.895894711219668,0.98000819576162,0.996710526315789,1,0.899175396046149
12,3,0.982,0.966,0.999,0.983,1,0.968,0.968,0.907769423558897,0.912528784213134,0.980007422744853,0.996708860759494,0.96875,0.915558232931727
12,5,0.988,0.966,0.998,1,1,0.967,0.968,0.903355032548823,0.912545764316939,0.998986315255955,0.997467071935157,0.999495713565305,0.91485430420146
13,1,0.98,0.963,1,0.972,1,0.966,0.965,0.900801603206413,0.90760730132694,0.980973609465229,0.997718052738337,0.970588235294118,0.909969878073766
13,3,0.981,0.958,0.996,0.99,1,0.959,0.96,0.889278557114228,0.899153140812242,0.977898918187965,0.996962025316456,0.998991935483871,0.90268054532056
13,5,0.974,0.962,0.998,0.99,0.995,0.966,0.965,0.901352028042063,0.90893506548107,0.980973867268284,0.996461071789687,0.936995204442201,0.913803248717297
12,4,0.987,0.968,0.998,0.997,1,0.97,0.97,0.908908908908909,0.914510806030525,0.99949264332826,0.996462860030318,1,0.918703443372598
13,2,0.986,0.964,1,0.989,0.998,0.964,0.965,0.901302605210421,0.90796880767811,0.999492385786802,0.996710526315789,0.966414268887767,0.910525945831959
14,1,0.969,0.947,0.996,0.99,0.994,0.951,0.951,0.880761523046092,0.890330268549562,0.998480243161094,0.997213779128673,0.932576139996635,0.89159731476127
15,1,0.977,0.952,0.997,0.999,0.993,0.955,0.955,0.879819729594392,0.885454689814689,0.977899560736611,0.996962025316456,0.966162125798856,0.888050480981379
14,2,0.986,0.966,0.995,0.995,1,0.968,0.968,0.904404404404404,0.912056409251972,0.98000858168201,0.996461071789687,0.968497729566095,0.915185477045209
14,4,0.984,0.962,1,0.987,0.998,0.963,0.964,0.903855783675513,0.910389916015826,0.999746063991874,0.9977192093259,0.999747729566095,0.912586708630706
14,5,0.993,0.974,1,1,1,0.973,0.975,0.913784461152882,0.918566283934616,0.99974593495935,0.996960486322188,0.9997476022211,0.919601898289998
14,3,0.974,0.963,1,0.949,1,0.967,0.965,0.912869303955934,0.918014429109159,0.980973867268284,0.996461071789687,1,0.924049397889108
15,4,0.985,0.967,0.994,0.987,1,0.969,0.969,0.911322645290581,0.917754528223731,0.999492385786802,0.99645928174001,0.966161871108868,0.921329507412721
15,2,0.982,0.965,1,0.975,1,0.966,0.966,0.908908908908909,0.917122540588161,0.982504684681529,0.997216599190283,0.999495967741935,0.91817752827272
16,2,0.988,0.965,1,0.991,1,0.966,0.967,0.902304609218437,0.909943928066276,0.981888792102207,0.996962025316456,0.968497474747475,0.912546573974338
