,Rep,Kfold,Num_Vars_,Precision_label_category_background,Recall_label_category_background,F1_score_label_category_background,Num_Obs_label_category_background,AUC_label_category_background,Accuracy_label_category_background,Precision_label_category_dos,Recall_label_category_dos,F1_score_label_category_dos,Num_Obs_label_category_dos,AUC_label_category_dos,Accuracy_label_category_dos,Precision_label_category_r2l,Recall_label_category_r2l,F1_score_label_category_r2l,Num_Obs_label_category_r2l,AUC_label_category_r2l,Accuracy_label_category_r2l,Precision_label_category_probe,Recall_label_category_probe,F1_score_label_category_probe,Num_Obs_label_category_probe,AUC_label_category_probe,Accuracy_label_category_probe,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Accuracy_w,Hyper_time,Training_time,Testing_time,Total_time
0,3.0,5.0,29.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,903.9718792438507,26.19674277305603,2.8683888912200928,938.671870470047
0,12.0,4.0,47.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,1210.4319407939909,8.633643627166746,1.4203426837921145,1224.6838364601135
0,15.0,1.0,41.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8485.0,1.0,1.0,1090.9224650859833,31.16416883468628,1.6138980388641355,1135.5291786193848
0,4.0,5.0,50.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,894.6901769638063,26.636502504348755,3.9345569610595694,934.315263748169
0,5.0,5.0,29.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9997393797237424,1.0,0.9998696728789259,7672.0,0.9987730061349692,0.9997643454695416,1.0,1.0,1.0,125.0,1.0,1.0,1.0,0.9970845481049564,0.9985401459854016,686.0,0.998542274052478,0.9997643454695416,0.9997643791233268,0.9997643176997408,0.9997641610267624,8486.0,0.9987728615446012,0.9997679000040572,897.2601280212402,42.409392356872566,1.4281353950500488,948.6424753665924
0,13.0,5.0,39.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,1127.086921453476,32.20725226402283,0.9168419837951659,1166.3170030117035
0,1.0,1.0,40.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,877.4466705322266,63.536185503005974,1.698570966720581,950.86457157135
0,12.0,2.0,51.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,2338.245104074478,10.41842484474182,1.314556121826172,2353.737575054169
0,12.0,5.0,47.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,2297.8959925174718,15.637521505355835,1.4857625961303709,2321.275288105011
0,15.0,4.0,50.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8485.0,1.0,1.0,1108.0173032283785,22.33417320251465,1.5167899131774902,1138.1494290828705
0,9.0,3.0,29.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,1149.4691224098206,11.366985321044922,1.7168424129486084,1169.2094888687136
0,11.0,3.0,50.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,2646.022953748703,188.0163018703461,1.1108527183532717,2838.500599861145
0,14.0,5.0,31.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,1113.2138288021088,26.06440305709839,0.8189022541046143,1147.0068781375885
0,2.0,5.0,42.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,921.9477610588074,33.944276809692376,2.778470277786255,972.0648930072784
0,6.0,4.0,48.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8488.0,1.0,1.0,864.1353504657745,22.99813413619995,3.4139413833618164,908.1860291957856
0,6.0,1.0,44.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,878.6590321063995,29.507370948791504,3.0654418468475337,927.3463418483734
0,7.0,1.0,46.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8488.0,1.0,1.0,1129.8641862869265,44.27417850494385,2.532146692276001,1187.633187532425
0,11.0,4.0,52.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,2358.900961637497,8.012986183166504,1.5199117660522459,2372.059728384018
0,10.0,4.0,52.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,2664.3683462142944,165.87078666687012,1.7199759483337402,2835.745275735855
0,19.0,2.0,28.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9996091205211728,1.0,0.999804522056428,7672.0,0.9981617647058824,0.9996465598491988,1.0,0.992063492063492,0.99601593625498,126.0,0.9960317460317459,0.9998821866163996,1.0,0.9970845481049564,0.9985401459854016,686.0,0.998542274052478,0.9997643732327992,0.9996466563730926,0.9996465182043124,0.999646146026986,8487.0,0.9981615481116448,0.9996597057516696,1127.1268119812014,14.78642988204956,1.415759563446045,1150.9616372585294
0,9.0,1.0,30.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,1127.422738313675,25.23803997039795,1.0708062648773191,1162.4763605594635
0,10.0,2.0,41.0,1.0,1.0,1.0,4.0,1.0,1.0,0.9997393797237424,1.0,0.9998696728789259,7672.0,0.9987745098039216,0.9997643732327992,1.0,1.0,1.0,126.0,1.0,1.0,1.0,0.997080291970803,0.9985380116959064,685.0,0.9985401459854016,0.9997643732327992,0.9997644068858904,0.9997643454695416,0.999764188563546,8487.0,0.9987743654077632,0.9997679824562864,2682.8278005123143,8.692157506942749,0.9185457229614258,2696.0280559062962
0,7.0,3.0,30.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8485.0,1.0,1.0,1150.9900829792025,33.3172242641449,1.7148051261901855,1192.7678191661835
0,20.0,5.0,45.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8485.0,1.0,1.0,1171.7972662448885,99.84277462959291,7.972550392150879,1314.7183756828308
0,13.0,1.0,45.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8485.0,1.0,1.0,2028.4374854564667,10.662802934646605,1.3149535655975342,2047.6303985118866
0,19.0,3.0,42.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,1110.0648190975191,21.972081422805786,1.2132627964019775,1140.7188014984129
0,8.0,5.0,27.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,1141.9838812351227,23.57254219055176,0.8110015392303467,1172.1424679756165
0,18.0,1.0,47.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,1137.1955544948578,22.88913154602051,1.0149264335632324,1165.7061994075775
0,2.0,2.0,51.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,904.5177667140961,25.925588130950928,2.4023609161376958,944.1440708637238
0,17.0,3.0,36.0,1.0,1.0,1.0,4.0,1.0,1.0,0.9996091205211728,1.0,0.999804522056428,7672.0,0.9981572481572482,0.9996464765496113,1.0,0.992,0.9959839357429718,125.0,0.996,0.9998821588498704,1.0,0.997080291970803,0.9985380116959064,685.0,0.9985401459854016,0.9997643176997408,0.9996466147346732,0.9996464765496113,0.9996461021914308,8486.0,0.9981572481572484,0.9996596270998318,1115.8213407993317,32.94639730453491,2.1642746925354004,1160.5983643531802
0,6.0,2.0,52.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,867.3281199932097,22.4573712348938,2.9159636497497563,906.0356543064116
0,2.0,3.0,42.0,1.0,1.0,1.0,4.0,1.0,1.0,0.9997393797237424,1.0,0.9998696728789259,7672.0,0.9987730061349692,0.9997643454695416,1.0,1.0,1.0,125.0,1.0,1.0,1.0,0.997080291970803,0.9985380116959064,685.0,0.9985401459854016,0.9997643454695416,0.9997643791233268,0.9997643176997408,0.9997641607752552,8486.0,0.9987728615446012,0.999767927773858,923.4744486808777,29.169615268707275,2.441943883895874,967.9812965393066
0,18.0,2.0,46.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,1101.7142224311826,29.069764852523804,1.9075007438659668,1143.2569010257719
0,9.0,5.0,43.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,1101.1655311584473,33.049487590789795,1.965474367141724,1149.7877724170685
0,5.0,2.0,26.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9997393797237424,1.0,0.9998696728789259,7672.0,0.9987730061349692,0.9997643454695416,1.0,0.992,0.9959839357429718,125.0,0.996,0.9998821727347708,1.0,0.998542274052478,0.9992706053975201,686.0,0.999271137026239,0.9998821727347708,0.9997643791233268,0.9997643176997408,0.9997640534524734,8486.0,0.9987728615446012,0.9997756894332104,901.4953248500824,28.38475823402405,2.7042765617370605,943.3478291034697
0,11.0,2.0,40.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,2529.686240911484,154.2120532989502,1.618920087814331,2689.7286777496342
0,6.0,3.0,29.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,883.4430022239685,35.50524234771728,1.842989206314087,934.3505947589874
0,19.0,4.0,52.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,1152.1325273513796,98.83913207054138,8.047013759613037,1293.1244575977325
0,2.0,4.0,42.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,915.0043590068816,27.95209789276123,2.31617283821106,957.7529406547546
0,1.0,5.0,42.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,917.6400742530824,24.55929398536682,1.8451504707336424,951.173262834549
0,19.0,5.0,44.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,1210.6057929992674,88.41300678253174,6.31089973449707,1335.813470363617
0,17.0,1.0,35.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,1140.9912302494051,26.4828622341156,1.1993160247802734,1174.4687712192535
0,13.0,3.0,41.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,1113.0942206382754,35.74477124214173,2.952998399734497,1161.686404466629
0,11.0,5.0,49.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,2053.921669960022,289.74606633186335,1.009307861328125,2349.867281675339
0,1.0,3.0,39.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,927.4202678203584,25.068018198013306,2.3654873371124268,964.2769505977632
0,15.0,2.0,47.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,1089.8683545589447,27.196205615997314,2.61963152885437,1131.1275498867035
0,19.0,1.0,44.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,1104.0744249820712,25.22377872467041,1.2512776851654053,1140.188627243042
0,20.0,4.0,31.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9996091205211728,1.0,0.999804522056428,7672.0,0.9981595092024541,0.9996465182043124,1.0,0.992,0.9959839357429718,125.0,0.996,0.9998821727347708,1.0,0.9970845481049564,0.9985401459854016,686.0,0.998542274052478,0.9997643454695416,0.9996466147346732,0.9996464765496113,0.999646102442938,8486.0,0.9981592923169018,0.9996596394352388,1223.1752827167509,129.54466652870178,4.652770280838013,1374.0010595321655
0,8.0,2.0,28.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8486.0,1.0,1.0,1161.1077425479891,17.770328044891354,1.2111716270446775,1184.7965877056122
0,4.0,2.0,44.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8485.0,1.0,1.0,889.0138704776764,26.555686950683594,2.13527512550354,924.6084859371184
0,15.0,3.0,48.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,686.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,1089.9724197387698,27.73114490509033,1.7543995380401611,1132.1229243278506
0,13.0,2.0,47.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,7672.0,1.0,1.0,1.0,1.0,1.0,126.0,1.0,1.0,1.0,1.0,1.0,685.0,1.0,1.0,1.0,1.0,1.0,8487.0,1.0,1.0,1111.95707321167,35.61254525184631,2.63547682762146,1159.717447757721
