,Rep.,Kfold,Num. Vars.,Precision-Background,Recall-Background,F1_score_Background,Num. Obs. Background,AUC_Background,Precision-DoS,Recall-DoS,F1_score_DoS,Num. Obs. Dos,AUC_DoS,Precision-Botnet,Recall-Botnet,F1_score_Botnet,Num. Obs. Botnet,AUC_Botnet,Precision-Scan,Recall-Scan,F1_score_Scan,Num. Obs. Scan,AUC_Scan,Precision-SSHscan,Recall-SSHscan,F1_score_SSHscan,Num. Obs. SSHscan,AUC_SSHscan,Precision-UDPscan,Recall-UDPscan,F1_score_UDPscan,Num. Obs. UDPscan,AUC_UDPscan,Precision-Spam,Recall-Spam,F1_score_Spam,Num. Obs. Spam,AUC_Spam,Precision-w,Recall-w,F1_score_w,Total Obs.,AUC_w,Time
17,4,86,1.0,1.0,1.0,24073,1.0,1.0,1.0,1.0,334,1.0,1.0,1.0,1.0,475,1.0,1.0,1.0,1.0,140,1.0,1.0,0.9523809523809524,0.975609756097561,21,0.9761904761904762,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,12768,1.0,1.0,0.9999735575651806,0.9999864563138732,37818,0.9999867787825903,1 day, 18:33:53.788227
8,1,90,0.6365222909725528,1.0,0.7778962675714978,24072,0.5,0.0,0.0,0.0,333,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,21,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12769,0.5,0.4051606269049471,0.6365222909725528,0.4951483143736077,37818,0.5,1 day, 20:12:59.672156
16,4,84,0.6364694061029139,1.0,0.7778567735263702,24070,0.5,0.0,0.0,0.0,334,0.5,0.0,0.0,0.0,476,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,21,0.5,0.0,0.0,0.0,8,0.5,0.0,0.0,0.0,12768,0.5,0.405093304904996,0.6364694061029139,0.4950820386794577,37818,0.5,1 day, 17:39:16.416516
13,1,87,0.6367339381596001,1.0,0.7780542986425341,24073,0.5004001455074573,0.0,0.0,0.0,334,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,21,0.5,0.0,0.0,0.0,7,0.5,1.0,0.0007049424297015744,0.001408891671884784,12767,0.5003524712148508,0.7429027471922379,0.6367867153207467,0.4957451068590796,37818,0.500373703072638,1 day, 19:19:03.654058
10,2,88,0.6364982417175643,1.0,0.7778783080750962,24073,0.5,0.0,0.0,0.0,334,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12769,0.5,0.4051300117095509,0.6364982417175643,0.4951181753600326,37821,0.5,1 day, 19:48:57.691656
2,3,83,1.0,1.0,1.0,24073,1.0,1.0,1.0,1.0,334,1.0,1.0,1.0,1.0,475,1.0,1.0,1.0,1.0,141,1.0,1.0,0.9523809523809524,0.975609756097561,21,0.9761904761904762,1.0,1.0,1.0,8,1.0,1.0,1.0,1.0,12769,1.0,1.0,0.9999735596626212,0.999986457388172,37821,0.9999867798313108,1 day, 17:45:36.427023
15,4,83,1.0,1.0,1.0,24072,1.0,1.0,1.0,1.0,334,1.0,1.0,1.0,1.0,475,1.0,1.0,1.0,1.0,141,1.0,1.0,1.0,1.0,22,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,12768,1.0,1.0,1.0,1.0,37819,1.0,1 day, 18:05:00.438741
8,2,89,0.6365150713907985,1.0,0.777890876189553,24073,0.5,0.0,0.0,0.0,334,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,21,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12769,0.5,0.4051514361076333,0.6365150713907985,0.4951392665920442,37820,0.5,1 day, 19:21:22.550515
11,3,79,1.0,1.0,1.0,24072,1.0,1.0,1.0,1.0,334,1.0,1.0,1.0,1.0,475,1.0,1.0,1.0,1.0,141,1.0,1.0,0.9545454545454546,0.9767441860465116,22,0.9772727272727272,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,12768,1.0,1.0,0.9999735582643644,0.99998647167014,37819,0.9999867791321824,1 day, 16:05:46.300253
20,3,83,0.6364982417175643,1.0,0.7778783080750962,24073,0.5,0.0,0.0,0.0,334,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,21,0.5,0.0,0.0,0.0,8,0.5,0.0,0.0,0.0,12769,0.5,0.4051300117095509,0.6364982417175643,0.4951181753600326,37821,0.5,1 day, 8:52:21.962055
6,3,84,1.0,1.0,1.0,24070,1.0,1.0,1.0,1.0,333,1.0,1.0,1.0,1.0,476,1.0,1.0,1.0,1.0,141,1.0,1.0,1.0,1.0,21,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,12769,1.0,1.0,1.0,1.0,37817,1.0,1 day, 18:56:26.302986
4,5,86,0.6364982417175643,1.0,0.7778783080750962,24073,0.5,0.0,0.0,0.0,334,0.5,0.0,0.0,0.0,476,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12768,0.5,0.4051300117095509,0.6364982417175643,0.4951181753600326,37821,0.5,1 day, 18:10:36.413712
9,2,79,1.0,1.0,1.0,24071,1.0,1.0,1.0,1.0,333,1.0,1.0,1.0,1.0,475,1.0,1.0,1.0,1.0,141,1.0,1.0,1.0,1.0,21,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,12768,1.0,1.0,1.0,1.0,37816,1.0,1 day, 16:11:03.098301
7,3,88,0.6364790184827732,1.0,0.7778639521732106,24071,0.5,0.0,0.0,0.0,334,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12769,0.5,0.4051055409687944,0.6364790184827732,0.4950940847923359,37819,0.5,1 day, 19:36:04.948924
17,1,85,0.6365222909725528,1.0,0.7778962675714978,24072,0.5,0.0,0.0,0.0,333,0.5,0.0,0.0,0.0,476,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12767,0.5,0.4051606269049471,0.6365222909725528,0.4951483143736077,37818,0.5,1 day, 17:48:48.749898
10,5,87,0.6365150713907985,1.0,0.777890876189553,24073,0.5,0.0,0.0,0.0,334,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12768,0.5,0.4051514361076333,0.6365150713907985,0.4951392665920442,37820,0.5,1 day, 19:15:34.569383
14,4,86,1.0,1.0,1.0,24072,1.0,1.0,1.0,1.0,333,1.0,1.0,1.0,1.0,475,1.0,1.0,1.0,1.0,141,1.0,1.0,1.0,1.0,22,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,1.0,12768,1.0,1.0,1.0,1.0,37819,1.0,1 day, 18:55:49.307661
18,4,88,0.6364886303543099,1.0,0.7778711303561041,24072,0.5,0.0,0.0,0.0,334,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12769,0.5,0.4051177765703053,0.6364886303543099,0.4951061303525156,37820,0.5,1 day, 19:35:08.197340
13,3,87,0.6365319019540443,1.0,0.7779034447101403,24073,0.5,0.0,0.0,0.0,334,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,140,0.5,0.0,0.0,0.0,21,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12769,0.5,0.4051728622052331,0.6365319019540443,0.4951603591979483,37819,0.5,1 day, 19:44:22.619442
10,1,88,0.6364982417175643,1.0,0.7778783080750962,24073,0.5,0.0,0.0,0.0,334,0.5,0.0,0.0,0.0,476,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12768,0.5,0.4051300117095509,0.6364982417175643,0.4951181753600326,37821,0.5,1 day, 19:38:49.766088
1,4,85,0.6364886303543099,1.0,0.7778711303561041,24072,0.5,0.0,0.0,0.0,333,0.5,0.0,0.0,0.0,476,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12769,0.5,0.4051177765703053,0.6364886303543099,0.4951061303525156,37820,0.5,1 day, 18:13:37.918875
8,4,84,0.6365054602184087,1.0,0.7778836987607244,24072,0.5,0.0,0.0,0.0,334,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12768,0.5,0.40513920088784827,0.6365054602184087,0.4951272216760929,37819,0.5,1 day, 17:43:49.730922
12,4,83,0.6365150713907985,1.0,0.777890876189553,24073,0.5,0.0,0.0,0.0,333,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,8,0.5,0.0,0.0,0.0,12768,0.5,0.4051514361076333,0.6365150713907985,0.4951392665920442,37820,0.5,1 day, 16:48:26.335817
3,4,81,0.6364982417175643,1.0,0.7778783080750962,24073,0.5,0.0,0.0,0.0,334,0.5,0.0,0.0,0.0,476,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12768,0.5,0.4051300117095509,0.6364982417175643,0.4951181753600326,37821,0.5,1 day, 16:05:35.946483
15,1,79,0.6365054602184087,1.0,0.7778836987607244,24072,0.5,0.0,0.0,0.0,333,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12769,0.5,0.40513920088784827,0.6365054602184087,0.4951272216760929,37819,0.5,1 day, 15:07:08.253587
3,5,82,0.6364958485377333,1.0,0.7778765208680055,24071,0.5,0.0,0.0,0.0,334,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,21,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12769,0.5,0.4051269652057692,0.6364958485377333,0.495115176207461,37818,0.5,1 day, 16:40:23.053701
3,3,83,0.6365126794827723,1.0,0.7778890899689762,24071,0.5,0.0,0.0,0.0,333,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,21,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12769,0.5,0.4051483911423384,0.6365126794827723,0.4951362689965683,37817,0.5,1 day, 17:05:54.916071
19,5,82,1.0,1.0,1.0,24072,1.0,1.0,1.0,1.0,334,1.0,1.0,1.0,1.0,475,1.0,1.0,1.0,1.0,141,1.0,1.0,1.0,1.0,21,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,12769,1.0,1.0,1.0,1.0,37819,1.0,1 day, 17:23:58.183391
1,5,88,0.6364982417175643,1.0,0.7778783080750962,24073,0.5,0.0,0.0,0.0,334,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12769,0.5,0.4051300117095509,0.6364982417175643,0.4951181753600326,37821,0.5,1 day, 19:31:44.540360
15,5,81,1.0,1.0,1.0,24073,1.0,1.0,1.0,1.0,333,1.0,1.0,1.0,1.0,476,1.0,1.0,1.0,1.0,141,1.0,1.0,1.0,1.0,22,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,12768,1.0,1.0,1.0,1.0,37820,1.0,1 day, 17:30:27.612347
20,2,87,0.6365222909725528,1.0,0.7778962675714978,24072,0.5,0.0,0.0,0.0,333,0.5,0.0,0.0,0.0,475,0.5,0.0,0.0,0.0,141,0.5,0.0,0.0,0.0,22,0.5,0.0,0.0,0.0,7,0.5,0.0,0.0,0.0,12768,0.5,0.4051606269049471,0.6365222909725528,0.4951483143736077,37818,0.5,1 day, 10:18:05.625085
7,1,84,1.0,1.0,1.0,24073,1.0,1.0,1.0,1.0,334,1.0,1.0,1.0,1.0,475,1.0,1.0,1.0,1.0,141,1.0,1.0,1.0,1.0,22,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,12769,1.0,1.0,1.0,1.0,37821,1.0,1 day, 18:43:57.999933
