"Repetition","Fold","auc.multiclass","auc.background","auc.exploit","auc.fuzzer","auc.generic","auc.weighted","acc.overall","acc.background","acc.exploit","acc.fuzzer","acc.generic"
7,3,0.979,1,0.988,0.968,1,0.994,0.947916666666667,0.992307692307692,0.913385560883366,0.940563086548488,0.993506493506493
5,2,0.975,1,0.983,0.966,1,0.993,0.940766550522648,1,0.902851737668162,0.85440074906367,0.991051384385133
5,3,0.979,1,0.984,0.974,1,0.994,0.937282229965157,0.992248062015504,0.900041135335253,0.882264760147601,0.991051384385133
5,1,0.986,1,0.991,0.979,1,0.996,0.944250871080139,0.996894409937888,0.912906390134529,0.920806100217865,0.975
7,5,0.984,1,0.99,0.976,1,0.996,0.947735191637631,1,0.921151893225011,0.88314606741573,0.981012658227848
5,4,0.969,1,0.979,0.954,1,0.991,0.916666666666667,0.9859375,0.870359340877506,0.829770594369134,0.984643318766542
5,5,0.98,1,0.99,0.966,1,0.995,0.951388888888889,0.992248062015504,0.93469882957465,0.876149481510468,0.993589743589744
6,1,0.97,1,0.982,0.957,1,0.992,0.947552447552448,0.99609375,0.919602818705958,0.891318609228078,0.987179487179487
8,1,0.971,1,0.976,0.969,0.999,0.992,0.923344947735192,0.99609375,0.872590081106236,0.855418304323414,0.984632034632035
8,2,0.979,1,0.984,0.975,1,0.994,0.940972222222222,0.99609375,0.9000819000819,0.940563086548488,0.98125
7,1,0.956,1,0.969,0.931,0.999,0.987,0.903114186851211,0.985953144745796,0.860902503293808,0.815949820788531,0.963855421686747
6,2,0.974,1,0.98,0.969,1,0.993,0.930555555555556,0.988461538461539,0.893591207536397,0.846116219917824,0.993506493506493
6,4,0.964,1,0.978,0.948,1,0.991,0.947916666666667,0.99609375,0.908450704225352,0.972924187725632,0.993589743589744
6,3,0.972,1,0.981,0.961,1,0.993,0.920138888888889,0.99296875,0.8828125,0.795854135011938,0.981012658227848
6,5,0.992,1,0.993,0.993,0.999,0.998,0.937282229965157,0.993827160493827,0.884308176100629,0.97463768115942,0.991051384385133
7,2,0.98,1,0.988,0.973,1,0.995,0.933566433566434,0.992918338037934,0.889715034392401,0.88,0.993506493506493
8,5,0.981,1,0.987,0.974,1,0.995,0.940972222222222,0.99609375,0.898947786380782,0.874358974358974,1
