"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.exploit","auc.fuzzer","auc.generic","auc.reconnaissance","auc.shellcode","auc.weighted","acc.overall","acc.background","acc.dos","acc.exploit","acc.fuzzer","acc.generic","acc.reconnaissance","acc.shellcode"
10,3,0.872,0.991,0.932,0.93,0.956,0.997,0.899,0.969,0.977,0.859253693964438,0.948037086535249,0.658377292137654,0.779374118739557,0.810739217712101,0.982235694347523,NA,NA
7,3,0.796,0.991,0.909,0.932,0.953,0.997,0.914,0.348,0.977,0.864228456913828,0.949507645345246,0.804954728370221,0.786693839557276,0.823306782234171,0.981957179716456,NA,NA
7,4,0.84,0.994,0.908,0.935,0.952,0.997,0.906,0.89,0.978,0.864763335837716,0.954770165203247,0.677620888664762,0.782036421550999,0.818900848767222,0.983467858738505,NA,NA
7,5,0.847,0.992,0.911,0.932,0.949,0.996,0.905,0.755,0.976,0.863863863863864,0.95027662986754,0.792580482897384,0.785599757668185,0.827647690655209,0.980603974945613,0.988986232790989,NA
8,1,0.836,0.994,0.932,0.939,0.96,0.997,0.907,0.674,0.98,0.872372372372372,0.956596385245821,0.799783696093011,0.793246723544928,0.833602237824438,0.985426100067862,0.989111389236546,NA
3,5,0.863,0.992,0.923,0.929,0.955,0.996,0.928,0.906,0.977,0.859934853420195,0.948697068403909,0.706239448256044,0.775522469421278,0.814876151062465,0.981874401807785,NA,NA
8,2,0.869,0.991,0.905,0.931,0.953,0.997,0.927,0.964,0.977,0.860721442885772,0.948334928351366,0.687967618609441,0.781743448158827,0.808191757390842,0.981680400315466,0.98910047607116,NA
12,4,0.847,0.991,0.929,0.927,0.957,0.997,0.926,0.748,0.977,0.860895671753815,0.946690683127232,0.691963837267705,0.776932656083658,0.838543406196256,0.981829292139226,0.988988988988989,NA
9,3,0.848,0.993,0.928,0.934,0.956,0.998,0.919,0.789,0.979,0.867584480600751,0.951661274371441,0.755612623107063,0.788239436619718,0.836441380349608,0.983176848794292,0.989108662994492,NA
9,1,0.858,0.99,0.917,0.93,0.951,0.996,0.905,0.929,0.976,0.86379569354031,0.947234530906309,0.836334213172448,0.78440496574017,0.846149058864812,0.98005670676829,0.48885549711996,NA
4,5,0.857,0.991,0.899,0.934,0.954,0.995,0.916,0.871,0.977,0.861006761833208,0.952993555624978,0.754477772982305,0.78230318997949,0.801784091703362,0.977820677285019,NA,NA
9,2,0.846,0.992,0.922,0.932,0.955,0.997,0.913,0.749,0.978,0.865331664580726,0.949723938345525,0.841969887076537,0.785344862928378,0.822856652605633,0.983719110750116,NA,NA
16,5,0.853,0.992,0.933,0.932,0.952,0.996,0.918,0.743,0.978,0.863044566850275,0.951732370940436,0.709836532250118,0.778995333240616,0.819953781485558,0.985743731239596,NA,NA
4,4,0.858,0.993,0.921,0.936,0.953,0.997,0.911,0.93,0.979,0.862258953168044,0.949350947740364,0.741961818638533,0.780255621791241,0.822005518965379,0.985995528912324,NA,NA
6,2,0.836,0.991,0.917,0.933,0.962,0.997,0.903,0.73,0.978,0.865765088905585,0.949000240184131,0.825546345139412,0.784588005891993,0.834085475559222,0.985845645577518,NA,NA
