"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.exploit","auc.fuzzer","auc.generic","auc.reconnaissance","auc.weighted","acc.overall","acc.background","acc.dos","acc.exploit","acc.fuzzer","acc.generic","acc.reconnaissance"
13,1,0.936,0.998,0.989,0.964,0.97,1,0.933,0.99,0.908545727136432,0.97635610846284,0.814915486523527,0.842527445189357,0.839658413790906,0.990583096838174,NA
11,2,0.924,0.998,0.979,0.965,0.969,0.999,0.923,0.989,0.908,0.976353622588819,0.71795301077069,0.838428617096928,0.82700926728214,0.995352292020373,NA
14,2,0.931,0.998,0.987,0.965,0.966,0.999,0.933,0.99,0.908091908091908,0.974205068628716,0.8464859437751,0.841216470268238,0.835841095454184,0.992513552460029,NA
12,2,0.921,0.998,0.985,0.956,0.965,0.999,0.926,0.988,0.896896896896897,0.970275554864942,0.769204373884797,0.824420918479598,0.807335062869262,0.990619192682037,NA
11,4,0.911,0.997,0.946,0.958,0.963,0.999,0.946,0.987,0.899050474762619,0.968366428892745,0.71795515394913,0.826949033665835,0.869704788191528,0.98865763479302,NA
11,3,0.93,0.999,0.993,0.96,0.966,0.999,0.922,0.989,0.902902902902903,0.975232876063773,0.831313131313131,0.8339621794008,0.821123698591886,0.986982342479675,NA
12,5,0.924,0.997,0.963,0.964,0.969,0.998,0.936,0.989,0.909954977488744,0.976085228859248,0.781698221457258,0.845515353157275,0.864343552800581,0.988090996619544,NA
12,3,0.918,0.998,0.981,0.958,0.955,0.998,0.924,0.987,0.901049475262369,0.975440984203871,0.746728736789129,0.832339360357733,0.793958442924776,0.993158634686737,NA
13,2,0.913,0.998,0.967,0.964,0.957,0.998,0.913,0.988,0.9135,0.982651401583709,0.796231155778894,0.852462558395703,0.849260947644702,0.987403857225405,NA
12,4,0.935,0.999,0.996,0.964,0.967,0.999,0.931,0.99,0.912456228114057,0.982609247719326,0.830062070122463,0.846439281542978,0.848423040407307,0.987818731309374,NA
14,4,0.932,0.998,0.994,0.961,0.964,0.998,0.926,0.988,0.906,0.980331356954734,0.853128807970755,0.836993387314647,0.834471288515406,0.98727302230721,0.492746373186593
17,1,0.924,0.998,0.983,0.961,0.962,0.999,0.925,0.988,0.906,0.972222222222222,0.843385854206186,0.838722356147154,0.830841186666932,0.99233721343974,0.492746373186593
17,5,0.929,0.997,0.975,0.963,0.969,0.999,0.944,0.989,0.9135,0.97868466570429,0.925059135545839,0.842291921422145,0.860064257525982,0.993562508727905,NA
16,2,0.929,0.996,0.987,0.96,0.969,0.999,0.918,0.988,0.911955977988995,0.970539686786607,0.829815745393635,0.845787276436264,0.878149025803054,0.993799414969159,0.492742742742743
16,3,0.922,0.998,0.972,0.959,0.966,0.998,0.935,0.988,0.900950475237619,0.974585705412962,0.730057123655914,0.831129063467492,0.811662093501236,0.99151274044228,NA
14,5,0.915,0.996,0.963,0.956,0.961,1,0.93,0.987,0.898949474737369,0.967283727494922,0.774008933556672,0.828297023698451,0.817075337597726,0.99233035157592,NA
15,2,0.92,0.997,0.977,0.961,0.959,0.998,0.919,0.987,0.9035,0.974388965072195,0.896733668341709,0.83247671209451,0.830809736119312,0.988917996348337,NA
16,1,0.922,0.998,0.974,0.961,0.964,1,0.939,0.989,0.905952976488244,0.977848612790389,0.795737211634905,0.838038587848933,0.829515100749221,0.987599815886931,NA
15,3,0.934,0.997,0.986,0.956,0.967,0.999,0.945,0.988,0.901,0.974151414772946,0.860619772384478,0.831220142807879,0.799888419074466,0.990459593197054,NA
14,3,0.916,0.998,0.944,0.961,0.965,0.999,0.948,0.989,0.903403403403403,0.97222933416177,0.763640948058497,0.838948030364282,0.829264206041457,0.988873260290198,NA
15,5,0.925,0.998,0.975,0.967,0.961,0.999,0.926,0.989,0.9095,0.976353622588819,0.746475327291037,0.848864426174273,0.8296419765451,0.99168276317796,NA
16,4,0.931,0.997,0.99,0.957,0.963,0.999,0.943,0.988,0.902597402597403,0.967298301264661,0.881850175967823,0.833208534331725,0.845947605287912,0.990812609737979,NA
17,4,0.911,0.996,0.975,0.959,0.954,0.998,0.905,0.986,0.901401401401401,0.973590680972571,0.723498192798646,0.839367093371646,0.815315315315315,0.986122870942066,NA
18,2,0.937,0.999,0.992,0.967,0.969,0.998,0.933,0.99,0.9085,0.979506919066835,0.897732997481108,0.840145742607511,0.816812953995157,0.990388725027612,NA
17,2,0.935,0.997,0.994,0.956,0.965,0.999,0.948,0.988,0.903451725862931,0.974335223489486,0.896732026143791,0.832313799155822,0.81543668837819,0.991445009836121,NA
18,1,0.925,0.998,0.982,0.963,0.967,1,0.924,0.989,0.909454727363682,0.974585705412962,0.778476424609178,0.84755206101777,0.845403091609739,0.990765314955809,NA
17,3,0.925,0.998,0.978,0.965,0.973,0.999,0.92,0.99,0.906046976511744,0.978038537549407,0.746477101157524,0.84099437612626,0.832515864165244,0.987603131574177,NA
18,5,0.913,0.997,0.975,0.959,0.962,0.999,0.908,0.988,0.903403403403403,0.973906310491676,0.710016502834182,0.837165646501979,0.832751795272244,0.988499919387002,0.492488733099649
19,1,0.926,0.998,0.978,0.961,0.971,1,0.928,0.989,0.9065,0.975276240712968,0.746727089627392,0.835849032929943,0.867001640689089,0.990213290303031,0.492496248124062
19,3,0.925,0.997,0.975,0.961,0.963,0.999,0.944,0.988,0.905,0.972889789979811,0.870490981963928,0.83747510407411,0.852479264969581,0.987386766484987,NA
19,2,0.922,0.997,0.969,0.962,0.961,0.999,0.932,0.988,0.908,0.976353622588819,0.788397048960429,0.844294794164129,0.823219888290164,0.99144665292771,NA
18,3,0.926,0.998,0.979,0.963,0.964,0.999,0.941,0.989,0.9075,0.972889789979811,0.829817512137954,0.838985815469357,0.851565539523318,0.992504580827807,NA
18,4,0.927,0.997,0.976,0.957,0.965,0.998,0.939,0.987,0.900049975012494,0.971626075810291,0.782443022503415,0.827702561799195,0.839048834888771,0.987283369239862,NA
19,4,0.92,0.998,0.979,0.961,0.96,0.999,0.92,0.988,0.903951975987994,0.975857874795488,0.74597787833082,0.840619014013509,0.802623649527935,0.990807672454644,NA
