"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.exploit","auc.fuzzer","auc.generic","auc.reconnaissance","auc.weighted","acc.overall","acc.background","acc.dos","acc.exploit","acc.fuzzer","acc.generic","acc.reconnaissance"
5,4,0.913,0.994,0.977,0.93,0.968,0.998,0.909,0.982,0.874062968515742,0.94824520895867,0.688283547438477,0.791751626023544,0.810462229525179,0.987739408473221,0.492742742742743
5,5,0.902,0.993,0.989,0.939,0.964,1,0.81,0.982,0.881,0.952210093659457,0.745737211634905,0.802297494663521,0.810453048843142,0.9920021259361,0.492477432296891
6,1,0.902,0.994,0.972,0.937,0.97,0.999,0.817,0.982,0.882441220610305,0.947590061272492,0.746725440806045,0.807669139737877,0.807293081450385,0.993394556669564,0.492742742742743
6,2,0.892,0.995,0.919,0.943,0.94,0.998,0.885,0.981,0.888,0.960738539898132,0.691164928803678,0.813108867867296,0.808736648714854,0.992168930390492,0.492492492492492
6,3,0.899,0.993,0.917,0.929,0.954,0.999,0.883,0.979,0.8765,0.953187540340087,0.662882610158089,0.797236859740828,0.806268720581943,0.987207545120241,0.617985971943888
6,4,0.911,0.992,0.979,0.934,0.958,0.999,0.908,0.981,0.8805,0.950691244239631,0.494734202607823,0.796022286157921,0.865495426522142,0.988800414941745,0.492746373186593
6,5,0.898,0.995,0.942,0.933,0.965,0.999,0.867,0.982,0.87743871935968,0.954980423048499,0.674793091039942,0.792531938383891,0.813614945889372,0.987874844707193,0.492481203007519
7,1,0.912,0.992,0.956,0.935,0.969,0.999,0.901,0.982,0.8835,0.943090281410189,0.715473790322581,0.812507595090533,0.859106304230172,0.989337490987667,0.635832556805964
7,2,0.911,0.995,0.968,0.94,0.966,0.998,0.896,0.983,0.881059470264868,0.948877974613269,0.71795515394913,0.80455519354039,0.819396940497772,0.991070972520176,0.492492492492492
7,3,0.899,0.994,0.966,0.931,0.953,0.998,0.872,0.98,0.8825,0.965681260229133,0.683719758064516,0.803711631491074,0.786926202503844,0.989079496795128,0.492728184553661
7,4,0.914,0.996,0.946,0.941,0.963,0.999,0.914,0.984,0.885885885885886,0.956951854674797,0.702601181815482,0.809544241037376,0.817522916714771,0.990393446295141,0.659649122807017
7,5,0.902,0.994,0.983,0.936,0.96,0.999,0.824,0.981,0.88544272136068,0.956335919812772,0.71820212171971,0.806370958047842,0.802337808735446,0.992945081937398,0.992992992992993
8,1,0.889,0.993,0.897,0.929,0.967,0.999,0.875,0.98,0.873,0.9465977346698,0.66288832913518,0.786013152683726,0.816812953995157,0.990294613760256,0.492488733099649
8,2,0.902,0.994,0.981,0.936,0.956,0.998,0.85,0.981,0.876876876876877,0.945773104639892,0.696469994957136,0.802734317668125,0.81463662340345,0.9914749567481,0.542957746478873
8,3,0.902,0.996,0.937,0.948,0.964,0.998,0.901,0.985,0.888055972013993,0.961483723922511,0.578320802005013,0.805759803921569,0.837452752913776,0.989343655542533,0.49275
8,4,0.918,0.994,0.987,0.938,0.963,0.999,0.911,0.983,0.8805,0.952592123323831,0.632090132090132,0.799409325122534,0.823707883676321,0.991732400567591,0.617735470941884
8,5,0.907,0.996,0.976,0.947,0.959,0.997,0.84,0.983,0.891445722861431,0.964572343712657,0.662880699983173,0.82054234604926,0.828098961671581,0.989332663993571,0.492731829573935
9,1,0.91,0.994,0.979,0.94,0.966,0.999,0.865,0.983,0.888944472236118,0.956286261381271,0.788143767824191,0.809245104717636,0.846569246972091,0.991463253460209,0.659892958688744
9,2,0.896,0.994,0.894,0.927,0.964,0.997,0.905,0.979,0.872872872872873,0.952860618493778,0.595472837022133,0.783807398828178,0.79325333478306,0.989731080539374,0.659649122807017
9,3,0.901,0.993,0.974,0.938,0.965,0.999,0.821,0.981,0.88655672163918,0.94824520895867,0.723252626770215,0.820775811783006,0.844610515210128,0.986552341003023,0.4925
9,4,0.907,0.996,0.928,0.948,0.964,0.999,0.906,0.985,0.889055472263868,0.958913564981357,0.674796894097347,0.816519179669342,0.828331651470365,0.990006320870365,0.492492492492492
9,5,0.912,0.994,0.962,0.93,0.957,0.998,0.92,0.981,0.878939469734867,0.953781859260764,0.73406432748538,0.795295457807118,0.802337808735446,0.990531638860035,0.492739108662994
10,1,0.904,0.994,0.959,0.939,0.961,0.999,0.841,0.982,0.8895,0.953187540340087,0.723501988207871,0.819250786229161,0.841978886747237,0.990547219244968,0.492488733099649
