"Repetition","Fold","auc.multiclass","auc.background","auc.exploit","auc.fuzzer","auc.generic","auc.weighted","acc.overall","acc.background","acc.exploit","acc.fuzzer","acc.generic"
17,4,0.966,0.995,0.965,0.941,0.999,0.985,0.930555555555556,0.985296981499513,0.904864532019704,0.861742424242424,0.978388278388278
17,5,0.951,0.994,0.962,0.926,0.992,0.981,0.909722222222222,0.97444011684518,0.864972880388239,0.820232399179768,0.992990654205608
18,1,0.97,0.994,0.968,0.968,0.986,0.984,0.937282229965157,0.98520753606123,0.902851737668162,0.925857083849649,0.982102768770267
18,2,0.934,0.985,0.949,0.895,0.971,0.966,0.909407665505226,0.977443609022556,0.900579731968077,0.790450928381963,0.976728110599078
18,3,0.974,0.999,0.968,0.975,0.992,0.989,0.937282229965157,0.996124031007752,0.910259344012204,0.84031339031339,0.986200989722116
18,4,0.956,1,0.971,0.922,0.999,0.987,0.912891986062718,0.981991941823899,0.876541926541927,0.80731102850062,0.982102768770267
18,5,0.965,1,0.967,0.942,0.986,0.984,0.910034602076125,0.986853658536585,0.862578996907355,0.801060606060606,0.988479262672811
19,1,0.948,0.986,0.957,0.931,0.973,0.971,0.909722222222222,0.981450827653359,0.892214920199321,0.814393939393939,0.963172985027079
19,2,0.956,0.994,0.98,0.921,0.995,0.985,0.937062937062937,0.992248062015504,0.906334841628959,0.838723051409619,0.995283018867924
19,3,0.955,0.999,0.964,0.932,0.983,0.982,0.909722222222222,0.98780487804878,0.882762193768041,0.777659432831847,0.973187686196624
19,4,0.931,0.99,0.934,0.885,0.991,0.97,0.878472222222222,0.963398692810458,0.860686854418646,0.803100775193798,0.946375372393247
19,5,0.973,0.998,0.962,0.974,0.997,0.988,0.930313588850174,0.992937992125984,0.885448028673835,0.859790874524715,0.986200989722116
20,1,0.98,0.996,0.979,0.977,0.989,0.989,0.948096885813149,0.989896776706593,0.924470655108711,0.866742424242424,0.997652582159624
20,2,0.959,0.989,0.966,0.931,0.989,0.979,0.933797909407665,0.971126484152684,0.918019480519481,0.858831908831909,0.997641509433962
20,3,0.927,0.989,0.913,0.894,0.991,0.965,0.878472222222222,0.985227438935205,0.830357142857143,0.746411483253588,0.956323669958586
20,4,0.95,0.985,0.939,0.958,0.965,0.968,0.909090909090909,0.967810522151899,0.88536866359447,0.832692307692308,0.976653439153439
20,5,0.972,1,0.982,0.962,0.994,0.991,0.930313588850174,1,0.886486486486487,0.847898664571877,0.979591194968553
