"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.exploit","auc.fuzzer","auc.generic","auc.reconnaissance","auc.shellcode","auc.weighted","acc.overall","acc.background","acc.dos","acc.exploit","acc.fuzzer","acc.generic","acc.reconnaissance","acc.shellcode"
5,2,0.844,0.985,0.899,0.903,0.961,0.994,0.869,0.682,0.968,0.836254381572359,0.920415293367693,0.741357715430862,0.753223509863898,0.81744783979179,0.973379680025983,0.572425610163825,NA
5,3,0.783,0.985,0.916,0.903,0.949,0.994,0.856,0.273,0.967,0.83946907087403,0.929750370605676,0.61635121584357,0.764047638148957,0.780820205668938,0.973243868558939,0.655764411027569,NA
5,4,0.828,0.984,0.879,0.901,0.956,0.996,0.895,0.615,0.968,0.834042553191489,0.919898324110116,0.741359879789632,0.742697448541026,0.801317910356323,0.980057048327469,0.488980716253444,NA
5,5,0.84,0.986,0.88,0.906,0.961,0.995,0.887,0.745,0.969,0.836504757135704,0.921441020305448,0.596961271102284,0.751015230705677,0.825753138801399,0.975492620332636,0.488977955911824,NA
6,1,0.827,0.982,0.886,0.892,0.956,0.994,0.867,0.633,0.965,0.827240861291938,0.921708299191352,0.491219267436026,0.734750599605882,0.781172305096786,0.975071281194531,0.488977955911824,NA
6,2,0.843,0.984,0.889,0.908,0.96,0.994,0.9,0.663,0.969,0.83946907087403,0.916241950226969,0.670403547194198,0.760688879210221,0.821373396657162,0.980238433398127,0.822556390977444,NA
6,3,0.841,0.984,0.902,0.904,0.959,0.994,0.878,0.763,0.968,0.841933867735471,0.926098791619794,0.69147228492601,0.76593609237368,0.809476123755909,0.971127415855849,0.488972431077694,NA
6,4,0.759,0.988,0.88,0.916,0.957,0.995,0.895,0.167,0.971,0.842342342342342,0.929955413275635,0.791846462619167,0.765115213403914,0.802447552447553,0.974756433923455,0.488852705410822,0.499749687108886
6,5,0.815,0.986,0.894,0.902,0.96,0.995,0.9,0.47,0.969,0.842052565707134,0.929822267263831,0.600513376242392,0.754529236184651,0.841199428089736,0.973238360055853,0.739105935386927,NA
7,1,0.826,0.985,0.907,0.899,0.954,0.995,0.883,0.545,0.968,0.835002503755633,0.920926781151792,0.991359879789632,0.748390181422606,0.81248073216141,0.974039809039491,0.739343029087262,NA
7,2,0.832,0.986,0.909,0.91,0.96,0.995,0.901,0.606,0.971,0.842302878598248,0.919393827420083,0.562777618569996,0.763454680923015,0.840226958125358,0.977717250324254,0.560520848259063,NA
7,3,0.83,0.982,0.882,0.902,0.957,0.995,0.846,0.771,0.966,0.841182364729459,0.92429136192667,NA,0.758796286738647,0.817005985989274,0.977255885303454,0.589089541008277,NA
7,4,0.85,0.988,0.858,0.908,0.961,0.993,0.916,0.769,0.97,0.844227397946406,0.927411353709076,0.709834629284854,0.762386590036871,0.803442928039702,0.979784463280704,0.689217652958877,NA
7,5,0.819,0.986,0.881,0.902,0.957,0.992,0.886,0.531,0.967,0.83033033033033,0.925598547794175,0.574561403508772,0.745690454124189,0.775401562665326,0.971104446401057,0.65564738292011,NA
8,1,0.844,0.986,0.893,0.903,0.964,0.996,0.853,0.74,0.969,0.838838838838839,0.921722156015691,0.623281235525323,0.752358456089993,0.832779530473891,0.976724809832862,0.739108662994492,NA
8,2,0.855,0.984,0.86,0.903,0.951,0.995,0.908,0.823,0.968,0.833166332665331,0.923468098677889,0.578642084853265,0.749685947365742,0.786610602687773,0.977171634914644,0.589089541008277,NA
8,3,0.824,0.987,0.892,0.907,0.954,0.993,0.892,0.655,0.969,0.834334334334334,0.924321400472069,0.491225871145651,0.747354118993135,0.806497430739383,0.973894571683894,0.655764411027569,0.499624436654982
8,4,0.798,0.985,0.916,0.907,0.955,0.995,0.899,0.334,0.969,0.846269404106159,0.929008308611497,0.991606113755951,0.766641512707086,0.813034246465166,0.978633092495729,0.572425610163825,NA
8,5,0.828,0.984,0.864,0.905,0.957,0.992,0.881,0.662,0.967,0.838677354709419,0.924781835934817,0.491230268103232,0.757950796248669,0.814025743453173,0.973364908308309,0.57242013714668,NA
