,Rep,Kfold,Num_Vars_,Precision_background,Recall_background,F1_score_background,Num_Obs_background,AUC_background,Accuracy_background,Precision_dos,Recall_dos,F1_score_dos,Num_Obs_dos,AUC_dos,Accuracy_dos,Precision_scan,Recall_scan,F1_score_scan,Num_Obs_scan,AUC_scan,Accuracy_scan,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Accuracy_w,Hyper_time,Training_time,Testing_time,Total_time
0,3.0,1.0,60.0,1.0,0.9995905554797324,0.9997952358200806,7327.0,0.9997952777398662,0.9998134212326636,0.9288915094339624,0.9988587370022826,0.962605401442014,7886.0,0.9626296614341328,0.9619379314633996,0.9776119402985076,0.302540415704388,0.4620811287477954,866.0,0.6510730080888337,0.9620623173082904,0.9639187999063832,0.9616891597736178,0.9525945734262731,16079.0,0.9627854179410724,0.9792040196331286,1911.5396807193758,28.29550290107727,2.7628629207611084,1961.309092760086
0,20.0,3.0,37.0,1.0,0.9995904995904996,0.999795207864018,7326.0,0.9997952497952498,0.9998134096280632,0.9206163903805744,1.0,0.9586676391928032,7886.0,0.95849609375,0.95770618236099,1.0,0.21824480369515006,0.3582938388625593,866.0,0.6091224018475749,0.9578927727329271,0.9610636182697604,0.95770618236099,0.9450699813373068,16078.0,0.95849609375,0.9769025459771532,435.072993516922,7.732267141342162,1.878523111343384,451.39529824256897
0,9.0,2.0,62.0,1.0,0.9997270369864883,0.9998634998635,7327.0,0.9998635184932442,0.9998756218905472,0.9282347395710582,0.9987320907823001,0.9621938557381052,7887.0,0.9622001720846688,0.9615049751243782,0.9769230769230768,0.2933025404157044,0.4511545293072824,866.0,0.6464540834062222,0.9615671641791044,0.9635573865430548,0.9611940298507464,0.9518359842093536,16080.0,0.9623570891456202,0.9789922627224572,1889.2806270122528,33.07614088058472,2.3606667518615723,1947.2435984611511
0,16.0,3.0,56.0,1.0,0.9997270369864883,0.9998634998635,7327.0,0.9998635184932442,0.9998756141551092,0.9348936675775216,0.9978442810043114,0.9653438017542784,7886.0,0.9654789572969806,0.9648609988183344,0.951951951951952,0.36605080831408776,0.5287739783152627,866.0,0.6824995381214164,0.9648609988183344,0.9654805555635751,0.9646744200509982,0.957560753116184,16079.0,0.9659065649143066,0.9808167228417533,1937.387102842331,8.141280889511107,0.7096586227416992,1954.5840518474577
0,3.0,5.0,34.0,1.0,0.9995904995904996,0.999795207864018,7326.0,0.9997952497952498,0.9998134212326636,0.92019600980049,1.0,0.9584396646008021,7887.0,0.958251953125,0.9574600410473288,1.0,0.21362586605080836,0.3520456707897241,866.0,0.6068129330254042,0.9576466198146651,0.9608548995146752,0.9574600410473288,0.944622481399479,16079.0,0.958251953125,0.9767673636700216,1882.8968441486359,43.0260648727417,3.5066511631011963,1947.099341392517
0,12.0,4.0,27.0,1.0,0.9995904995904996,0.999795207864018,7326.0,0.9997952497952498,0.9998134096280632,0.9197574061115,1.0,0.9582017010935602,7886.0,0.9580078125,0.9572086080358252,1.0,0.2090069284064665,0.34574976122254064,866.0,0.6045034642032332,0.957395198407762,0.9606423003231302,0.9572086080358252,0.9441657918182816,16078.0,0.9580078125,0.9766316932284382,1733.6981647014618,46.65394067764282,4.420928716659546,1811.7152376174927
0,15.0,1.0,36.0,1.0,0.9994540739729768,0.999726962457338,7327.0,0.9997270369864883,0.9997512437810944,0.9211264314092078,0.99949283631292,0.9587108543630282,7887.0,0.9585527162157788,0.9577736318407959,0.9798994974874372,0.2251732101616628,0.3661971830985915,866.0,0.612455147213078,0.9580223880597016,0.9602311647604814,0.9577736318407959,0.9454899703264612,16080.0,0.9586748401915656,0.976914514028118,1459.1078176498413,13.936475038528442,1.1351659297943115,1486.7796895503998
0,4.0,5.0,69.0,1.0,0.9997269997269996,0.9998634812286691,7326.0,0.9998634998635,0.9998756064187088,0.946798266730862,0.9974638600050724,0.9714709151537608,7886.0,0.971754390940036,0.9712650827217316,0.9551569506726456,0.4919168591224018,0.6493902439024389,866.0,0.7453010538052188,0.9713894763030227,0.971490051668248,0.9712650827217316,0.9670600479912488,16078.0,0.972365085181518,0.9843082735069942,2015.4105949401853,21.073516845703125,1.261150360107422,2047.9527962207794
0,5.0,5.0,23.0,0.9998634812286691,0.9995905554797324,0.9997269997269996,7327.0,0.999738160993236,0.9997512592500466,0.9198740377886634,1.0,0.9582649899763076,7887.0,0.9580790822553088,0.9572787761955104,1.0,0.209919261822376,0.34699714013346045,867.0,0.604959630911188,0.9574031465704868,0.9606396531933116,0.957216591008022,0.9442001258279072,16081.0,0.9580219655086786,0.976637255920384,1847.054193019867,34.80364227294922,4.0086889266967765,1906.114734172821
0,13.0,5.0,32.0,1.0,0.9995904995904996,0.999795207864018,7326.0,0.9997952497952498,0.9998134212326636,0.9197574061115,1.0,0.9582017010935602,7886.0,0.9580129378737948,0.9572112693575472,1.0,0.209919261822376,0.34699714013346045,867.0,0.604959630911188,0.9573978481248834,0.960644748093494,0.9572112693575472,0.9441958348237652,16079.0,0.9580129378737948,0.9766319502723046,1408.5349397659302,34.69697856903076,3.8217248916625977,1464.153177022934
