,Rep,Kfold,Num_Vars_,Precision_label_background,Recall_label_background,F1_score_label_background,Num_Obs_label_background,AUC_label_background,Accuracy_label_background,Precision_label_dos,Recall_label_dos,F1_score_label_dos,Num_Obs_label_dos,AUC_label_dos,Accuracy_label_dos,Precision_label_nerisbotnet,Recall_label_nerisbotnet,F1_score_label_nerisbotnet,Num_Obs_label_nerisbotnet,AUC_label_nerisbotnet,Accuracy_label_nerisbotnet,Precision_label_scan,Recall_label_scan,F1_score_label_scan,Num_Obs_label_scan,AUC_label_scan,Accuracy_label_scan,Precision_label_anomaly_sshscan,Recall_label_anomaly_sshscan,F1_score_label_anomaly_sshscan,Num_Obs_label_anomaly_sshscan,AUC_label_anomaly_sshscan,Accuracy_label_anomaly_sshscan,Precision_label_anomaly_udpscan,Recall_label_anomaly_udpscan,F1_score_label_anomaly_udpscan,Num_Obs_label_anomaly_udpscan,AUC_label_anomaly_udpscan,Accuracy_label_anomaly_udpscan,Precision_label_anomaly_spam,Recall_label_anomaly_spam,F1_score_label_anomaly_spam,Num_Obs_label_anomaly_spam,AUC_label_anomaly_spam,Accuracy_label_anomaly_spam,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Accuracy_w,Hyper_time,Training_time,Testing_time,Total_time
0,16.0,5.0,93.0,1.0,1.0,1.0,4484.0,1.0,1.0,1.0,1.0,1.0,133.0,1.0,1.0,1.0,1.0,1.0,112.0,1.0,1.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,3193.0,1.0,1.0,1.0,1.0,1.0,8012.0,1.0,1.0,4186.6614775657645,142.14566707611084,3.3276500701904297,4343.004379749298
0,20.0,1.0,68.0,1.0,1.0,1.0,4484.0,1.0,1.0,1.0,1.0,1.0,132.0,1.0,1.0,1.0,1.0,1.0,113.0,1.0,1.0,1.0,1.0,1.0,63.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,3194.0,1.0,1.0,1.0,1.0,1.0,8012.0,1.0,1.0,2726.303606748581,180.9086616039276,1.9210169315338133,2914.5858056545258
0,7.0,5.0,81.0,1.0,1.0,1.0,4484.0,1.0,1.0,1.0,1.0,1.0,133.0,1.0,1.0,1.0,1.0,1.0,113.0,1.0,1.0,1.0,1.0,1.0,63.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,3194.0,1.0,1.0,1.0,1.0,1.0,8013.0,1.0,1.0,2873.146441221237,69.1691472530365,4.3947622776031485,2962.729122400284
0,17.0,2.0,89.0,1.0,1.0,1.0,4484.0,1.0,1.0,1.0,1.0,1.0,133.0,1.0,1.0,1.0,1.0,1.0,113.0,1.0,1.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,3194.0,1.0,1.0,1.0,1.0,1.0,8013.0,1.0,1.0,4182.139497041702,151.28157949447632,2.786429643630981,4347.4971590042105
0,3.0,1.0,85.0,1.0,1.0,1.0,4484.0,1.0,1.0,1.0,1.0,1.0,133.0,1.0,1.0,1.0,1.0,1.0,112.0,1.0,1.0,1.0,1.0,1.0,63.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,3194.0,1.0,1.0,1.0,1.0,1.0,8011.0,1.0,1.0,3819.1303832530975,91.33463978767395,2.6465930938720703,3927.901302814484
0,20.0,3.0,90.0,1.0,1.0,1.0,4484.0,1.0,1.0,1.0,1.0,1.0,133.0,1.0,1.0,1.0,1.0,1.0,113.0,1.0,1.0,1.0,1.0,1.0,63.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,3194.0,1.0,1.0,1.0,1.0,1.0,8013.0,1.0,1.0,2528.1292343139653,32.845176219940186,2.530079841613769,2575.0121128559117
0,9.0,2.0,90.0,1.0,1.0,1.0,4484.0,1.0,1.0,1.0,1.0,1.0,133.0,1.0,1.0,1.0,1.0,1.0,113.0,1.0,1.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,3194.0,1.0,1.0,1.0,1.0,1.0,8013.0,1.0,1.0,2879.112454414368,89.20849442481995,2.258518934249878,2980.2453353405
0,16.0,3.0,88.0,1.0,1.0,1.0,4484.0,1.0,1.0,1.0,1.0,1.0,133.0,1.0,1.0,1.0,1.0,1.0,113.0,1.0,1.0,1.0,1.0,1.0,63.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,3194.0,1.0,1.0,1.0,1.0,1.0,8012.0,1.0,1.0,3973.1369366645813,106.9073567390442,1.8673250675201416,4095.4131348133087
0,3.0,5.0,84.0,1.0,1.0,1.0,4484.0,1.0,1.0,1.0,1.0,1.0,132.0,1.0,1.0,1.0,1.0,1.0,113.0,1.0,1.0,1.0,1.0,1.0,63.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,3193.0,1.0,1.0,1.0,1.0,1.0,8011.0,1.0,1.0,3817.9594700336456,84.45378136634827,1.8852858543396,3917.763026714325
0,12.0,4.0,88.0,1.0,1.0,1.0,4484.0,1.0,1.0,1.0,1.0,1.0,133.0,1.0,1.0,1.0,1.0,1.0,112.0,1.0,1.0,1.0,1.0,1.0,63.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,3193.0,1.0,1.0,1.0,1.0,1.0,8011.0,1.0,1.0,4124.739372968674,89.77938485145569,1.4508883953094482,4227.060332298279
