,Rep,Kfold,Num_Vars_,Precision_label_background,Recall_label_background,F1_score_label_background,Num_Obs_label_background,AUC_label_background,Precision_label_dos,Recall_label_dos,F1_score_label_dos,Num_Obs_label_dos,AUC_label_dos,Precision_label_nerisbotnet,Recall_label_nerisbotnet,F1_score_label_nerisbotnet,Num_Obs_label_nerisbotnet,AUC_label_nerisbotnet,Precision_label_scan,Recall_label_scan,F1_score_label_scan,Num_Obs_label_scan,AUC_label_scan,Precision_label_anomaly_sshscan,Recall_label_anomaly_sshscan,F1_score_label_anomaly_sshscan,Num_Obs_label_anomaly_sshscan,AUC_label_anomaly_sshscan,Precision_label_anomaly_udpscan,Recall_label_anomaly_udpscan,F1_score_label_anomaly_udpscan,Num_Obs_label_anomaly_udpscan,AUC_label_anomaly_udpscan,Precision_label_anomaly_spam,Recall_label_anomaly_spam,F1_score_label_anomaly_spam,Num_Obs_label_anomaly_spam,AUC_label_anomaly_spam,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Time
0,3.0,2.0,97.0,1.0,1.0,1.0,9340.0,1.0,1.0,1.0,1.0,208.0,1.0,1.0,1.0,1.0,215.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,6122.0,1.0,1.0,1.0,1.0,16012.0,1.0,126011.92373561859
0,12.0,5.0,103.0,1.0,1.0,1.0,9339.0,1.0,1.0,1.0,1.0,208.0,1.0,1.0,1.0,1.0,216.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,6122.0,1.0,1.0,1.0,1.0,16012.0,1.0,131407.61616945267
0,2.0,2.0,99.0,1.0,1.0,1.0,9339.0,1.0,1.0,1.0,1.0,209.0,1.0,1.0,1.0,1.0,215.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,6121.0,1.0,1.0,1.0,1.0,16011.0,1.0,132155.27015924454
0,2.0,4.0,89.0,0.9991439272338148,0.9997858443088125,0.9994647827017769,9339.0,0.9992932220044812,1.0,1.0,1.0,208.0,1.0,1.0,1.0,1.0,215.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,6121.0,1.0,0.9995006019386968,0.9998750702729714,0.9996877759792552,16009.0,0.9995876944406178,102504.02749824524
0,14.0,2.0,88.0,0.9932878755593436,0.9982867544705,0.9957810413885179,9339.0,0.9944228617249848,1.0,1.0,1.0,209.0,1.0,1.0,1.0,1.0,215.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,6122.0,1.0,0.9960851530007938,0.9990007494379216,0.9975392921263658,16012.0,0.9967471337527876,103437.59687685966
0,9.0,1.0,86.0,0.996262680192205,0.9990362993896564,0.9976475620188194,9339.0,0.9968952480161712,1.0,1.0,1.0,208.0,1.0,1.0,1.0,1.0,216.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,6121.0,1.0,0.9978200718452941,0.9994378864530636,0.9986278547057494,16011.0,0.9981890401113624,97111.30604529381
0,12.0,1.0,93.0,0.999037021185534,0.9997858443088125,0.9994112924805992,9339.0,0.9992184617227514,1.0,1.0,1.0,209.0,1.0,1.0,1.0,1.0,215.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,6121.0,1.0,0.9994383074668478,0.9998750858784584,0.9996566148570556,16011.0,0.9995441392810428,112221.46696591377
0,20.0,1.0,93.0,0.9983957219251336,0.9995716886176249,0.9989833591952486,9339.0,0.9986620804490584,1.0,1.0,1.0,209.0,1.0,1.0,1.0,1.0,215.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,6122.0,1.0,0.9990643631461202,0.9997502029600948,0.999407081216788,16013.0,0.9992197070701152,147048.85099363327
0,2.0,1.0,92.0,1.0,1.0,1.0,9340.0,1.0,1.0,1.0,1.0,209.0,1.0,1.0,1.0,1.0,216.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,6122.0,1.0,1.0,1.0,1.0,16014.0,1.0,108297.39308190346
0,4.0,2.0,95.0,1.0,1.0,1.0,9340.0,1.0,1.0,1.0,1.0,209.0,1.0,1.0,1.0,1.0,215.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,6122.0,1.0,1.0,1.0,1.0,16013.0,1.0,114846.67592144011
