,AUC_Background,AUC_Botnet,AUC_DoS,AUC_SSHscan,AUC_Scan,AUC_Spam,AUC_UDPscan,AUC_w,F1_score_Background,F1_score_Botnet,F1_score_DoS,F1_score_SSHscan,F1_score_Scan,F1_score_Spam,F1_score_UDPscan,F1_score_w,Kfold,Num. Obs. Background,Num. Obs. Botnet,Num. Obs. Dos,Num. Obs. SSHscan,Num. Obs. Scan,Num. Obs. Spam,Num. Obs. UDPscan,Num. Vars.,Precision-Background,Precision-Botnet,Precision-DoS,Precision-SSHscan,Precision-Scan,Precision-Spam,Precision-UDPscan,Precision-w,Recall-Background,Recall-Botnet,Recall-DoS,Recall-SSHscan,Recall-Scan,Recall-Spam,Recall-UDPscan,Recall-w,Rep.,Time,Total Obs.,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1
299,0.8184863321485563,0.9422879546070808,0.9096475003197256,0.5,0.9046989958540036,0.8159860773690684,0.75,0.8206208902191345,0.8536559482118221,0.9259259259259259,0.8934426229508197,0.0,0.8869565217391304,0.777020115922264,0.6666666666666666,0.8228878119177698,4,4484,113,133,19,63,3193,6,92,0.8143348856043734,0.9708737864077672,0.9819819819819819,0.0,0.9807692307692308,0.8526000748222969,1.0,0.8340944287808946,0.8969669937555754,0.8849557522123894,0.8195488721804511,0.0,0.8095238095238095,0.7137488255559036,0.5,0.8193733616277619,20,28097.600874662403,8011,123.0,91.0,0.0
300,0.8174843004654438,0.9378632239274112,0.8945464867753139,0.5,0.9046990116801438,0.8165235566323711,0.75,0.8199207672471742,0.8521591150818976,0.9209302325581395,0.8713692946058093,0.0,0.8869565217391304,0.7778717645068516,0.6666666666666666,0.8218444254577959,3,4484,113,133,20,63,3194,6,98,0.8145587637250915,0.9705882352941176,0.9722222222222222,0.0,0.9807692307692308,0.8461538461538461,1.0,0.8313824246650378,0.8933987511150758,0.8761061946902655,0.7894736842105263,0.0,0.8095238095238095,0.7197871008140263,0.5,0.8190440534132035,18,28495.07934784888,8013,124.0,92.0,0.0
301,0.8188325434247442,0.9422879786508206,0.8643443549857001,0.5,0.9285085275775928,0.8053154875021217,0.6666666666666666,0.8159329967344432,0.8523855267371117,0.9259259259259259,0.8255319148936171,0.0,0.9152542372881356,0.7632293080054274,0.5,0.8156437222813502,1,4484,113,133,19,63,3194,6,85,0.8174002047082907,0.9708737864077672,0.9509803921568628,0.0,0.9818181818181818,0.8327165062916358,1.0,0.8273792704047611,0.8904995539696701,0.8849557522123894,0.7293233082706767,0.0,0.8571428571428571,0.7044458359423921,0.3333333333333333,0.8107838242636046,6,24320.791959762573,8012,125.0,93.0,0.0
302,0.8198719340628396,0.9422880026884732,0.8983693370482043,0.5,0.9296245990061642,0.8213654908826638,0.75,0.8235623075857487,0.853486884197057,0.9259259259259259,0.8796680497925311,0.0,0.9166666666666664,0.7841677943166441,0.6666666666666666,0.8256532223518867,2,4484,113,133,19,64,3194,6,89,0.8177360032693094,0.9708737864077672,0.9814814814814816,0.0,0.9821428571428572,0.8528329654157468,1.0,0.836113771116403,0.8925066904549509,0.8849557522123894,0.7969924812030075,0.0,0.859375,0.7257357545397621,0.5,0.8216647947085985,17,29086.921157121666,8013,126.0,94.0,0.0
303,0.8248194386288562,0.9556256140857976,0.90883710198431,0.5,0.8570170551551858,0.8171477471899494,0.6428571428571428,0.8243140955647642,0.8575999999999999,0.9449541284403672,0.8852459016393442,0.0,0.8181818181818182,0.7787700084245999,0.4444444444444445,0.8251570953688083,5,4484,113,132,19,63,3194,7,81,0.821917808219178,0.9809523809523808,0.9642857142857144,0.0,0.9574468085106383,0.8431229478292593,1.0,0.8342319807402586,0.8965209634255129,0.9115044247787608,0.8181818181818182,0.0,0.7142857142857143,0.7235441452723858,0.2857142857142857,0.8223914128806791,6,24343.9840798378,8012,127.0,95.0,0.0
304,0.8238043656356386,0.9511375361729444,0.9244947309255496,0.5,0.9205720196410848,0.8162836686159877,0.75,0.8241718556464155,0.8560427807486629,0.9357798165137614,0.9003984063745021,0.0,0.905982905982906,0.7776468607978456,0.6666666666666666,0.8247747486015118,3,4484,113,133,20,63,3193,6,93,0.8224414303329223,0.9714285714285714,0.9576271186440678,0.0,0.9814814814814816,0.8406113537117904,1.0,0.8333585365325753,0.8925066904549509,0.9026548672566372,0.849624060150376,0.0,0.8412698412698413,0.7234575634199812,0.5,0.8216425361957065,4,27919.521066904068,8012,128.0,96.0,0.0
305,0.8217580704166272,0.9373733856672576,0.8937489902836437,0.5,0.912635495874454,0.8073479646317352,0.7142857142857143,0.8186744021185457,0.8538049303322615,0.9245283018867924,0.8702928870292888,0.0,0.8965517241379309,0.7659502453883905,0.6,0.818133462004353,5,4484,112,132,19,63,3193,7,92,0.8219149814279818,0.98,0.97196261682243,0.0,0.981132075471698,0.8332106038291606,1.0,0.8305591287047264,0.8882694023193577,0.875,0.7878787878787878,0.0,0.8253968253968254,0.7087378640776699,0.42857142857142855,0.8118601747815231,17,30534.8571343422,8010,129.0,97.0,0.0
306,0.8206188870006755,0.9417743882589116,0.8982423690605035,0.5,0.9206349206349208,0.8184044539106341,0.6428571428571428,0.822589623919327,0.8533532998181623,0.9252336448598132,0.8724279835390947,0.0,0.9137931034482758,0.7803643724696356,0.4444444444444445,0.8236772942633303,5,4484,112,133,19,63,3193,7,86,0.8199383350462487,0.9705882352941176,0.9636363636363636,0.0,1.0,0.8457038391224863,1.0,0.8343284697768139,0.889607493309545,0.8839285714285714,0.7969924812030075,0.0,0.8412698412698413,0.7243971186971501,0.2857142857142857,0.8191237049057546,9,29930.47738575936,8011,130.0,98.0,0.0
307,0.8220457473681179,0.951137560210597,0.9132800274798673,0.5,0.9046990116801438,0.8162122887344669,0.6428571428571428,0.8227849753040056,0.8543294445039067,0.9357798165137614,0.8906882591093117,0.0,0.8869565217391304,0.7774771728102807,0.4444444444444445,0.8233207723474134,2,4484,113,133,19,63,3194,7,82,0.8213624202510804,0.9714285714285714,0.9649122807017544,0.0,0.9807692307692308,0.8452205882352941,1.0,0.8348330056998126,0.8900535236396075,0.9026548672566372,0.8270676691729323,0.0,0.8095238095238095,0.7197871008140263,0.2857142857142857,0.8180456757768626,10,24904.13503265381,8013,131.0,0.0,
308,0.8074270371246922,0.9422246794990292,0.9018748801181784,0.5,0.912635511704577,0.8038960686197372,0.75,0.8095436423758184,0.8462106039843997,0.9216589861751152,0.8699186991869919,0.0,0.8965517241379309,0.7611405156223322,0.6666666666666666,0.8120095564421024,3,4484,113,133,19,63,3194,6,86,0.8023186088346992,0.9615384615384616,0.9469026548672568,0.0,0.981132075471698,0.8370259106271123,1.0,0.8204518997208807,0.8951828724353256,0.8849557522123894,0.8045112781954887,0.0,0.8253968253968254,0.6978710081402629,0.5,0.8119071392910634,2,24732.95971775056,8012,132.0,0.0,
